	MF.alv.Lu#2	MF.alv.Lu#3	MF.alv.Lu.KPd28#1	MF.alv.Lu.KPd28#2	MF.alv.Lu.KPd17#1	MF.alv.Lu.KPd28#3
Rpain	94	177	110	71	74	89
Rpap1	107	110	95	66	76	58
Rpap2	45	81	88	23	51	23
Rpap3	44	55	30	10	34	20
Rpe	288	279	375	137	253	170
Rpe65	1	2	2	2	2	4
Rpf1	118	206	190	51	120	103
Rpf2	105	124	152	63	76	59
Rpgr	29	31	36	11	17	12
Rpgrip1	16	18	15	1	16	15
Rpgrip1l	10	12	12	17	4	20
Rph3a	4	4	4	4	4	3
Rph3al	0	1	2	0	1	2
Rpia	19	31	37	5	26	26
Rpl10	1211	2407	1518	702	1080	523
Rpl10-ps3	21	44	22	11	19	8
Rpl10a	265	462	297	140	213	166
Rpl10l	0	0	0	0	0	0
Rpl11	207	377	261	121	159	114
Rpl12	315	557	400	175	242	235
Rpl13	556	1133	654	333	476	388
Rpl13a	28	54	57	13	33	22
Rpl13a-ps1	1	9	2	0	1	6
Rpl14	356	718	422	263	327	252
Rpl15	296	525	417	172	287	184
Rpl17	346	705	422	249	297	221
Rpl18	278	589	379	155	240	262
Rpl18a	939	2063	950	551	695	554
Rpl19	259	573	348	193	237	183
Rpl21	288	622	330	169	273	178
Rpl22	367	675	542	200	292	296
Rpl22l1	41	54	43	26	22	37
Rpl23	552	1218	661	335	450	393
Rpl23a	16	40	21	17	20	7
Rpl24	6	9	6	0	4	3
Rpl26	398	754	497	216	332	306
Rpl27	74	180	123	63	53	68
Rpl27-ps3	8	21	3	9	5	5
Rpl27a	180	323	239	99	140	125
Rpl28	184	375	289	112	145	107
Rpl29	146	291	194	84	105	70
Rpl3	766	1388	980	519	680	446
Rpl30	139	322	207	110	138	121
Rpl31	76	189	113	48	85	54
Rpl32	499	1201	570	317	387	357
Rpl34	217	435	313	133	197	196
Rpl35	20	37	31	12	15	21
Rpl35a	287	595	418	165	285	256
Rpl36	62	136	89	32	56	43
Rpl36-ps4	0	0	0	0	0	0
Rpl36a	70	138	69	34	62	53
Rpl36a-ps1	4	4	1	1	0	1
Rpl36al	10	18	25	7	8	4
