	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3
Irx1	2	3	0	1	0	0	0	0
Irx2	0	1	4	0	1	1	3	0
Irx3	0	1	0	0	0	0	0	0
Irx4	1	0	0	0	1	0	0	0
Irx5	6	1	0	0	1	0	0	0
Irx6	1	0	1	5	2	1	1	0
Isca1	55	44	95	71	40	88	53	60
Isca2	287	228	309	245	128	285	156	109
Iscu	440	284	307	290	218	352	162	192
Isg15	27	9	11	21	12	130	17	19
Isg20	113	83	104	70	53	227	18	15
Isg20l2	205	124	94	174	108	90	46	56
Isl1	2	1	2	4	2	0	2	1
Isl2	2	0	1	0	2	3	0	2
Islr	1	4	2	3	3	0	0	0
Islr2	4	2	12	4	0	2	0	1
Ism1	1	4	0	2	1	0	2	2
Ism2	1	3	4	2	0	0	1	0
Isoc1	138	115	141	144	141	166	71	61
Isoc2a	10	7	5	13	1	12	6	7
Isoc2b	17	20	17	22	8	21	14	15
Ispd	20	4	23	30	11	4	12	16
Ist1	1131	948	1003	862	699	1484	523	527
Isx	3	2	2	0	5	1	1	0
Isy1	172	108	135	150	121	141	45	74
Isyna1	209	180	169	201	101	349	179	332
Itch	1522	976	1780	1286	740	1489	511	587
Itfg1	315	300	335	348	195	382	237	262
Itfg2	80	52	51	34	34	34	28	36
Itga1	51	50	39	58	24	520	18	14
Itga10	8	3	6	2	5	4	0	1
Itga11	4	4	14	6	10	2	3	1
Itga2	6	8	6	14	4	38	3	2
Itga2b	15	0	9	11	1	43	1	4
Itga3	6	10	5	20	12	0	0	2
Itga4	5297	3755	5108	4464	2996	5102	1156	867
Itga5	332	266	231	264	216	722	339	440
Itga6	13	19	25	17	39	7	150	130
Itga7	15	4	2	19	8	0	1	2
Itga8	55	51	70	49	78	130	7	9
Itga9	9	18	18	28	40	5	62	49
Itgad	7	19	7	6	9	0	4	2
Itgae	58	18	19	20	5	10	10	8
Itgal	10076	7182	8172	7331	4733	6129	1220	1081
Itgam	647	606	776	790	516	1024	721	835
Itgav	1195	1025	773	993	665	590	331	332
Itgax	1790	1546	1557	1495	1147	219	1028	1098
Itgb1	3685	2128	1842	3328	2377	1121	823	1660
Itgb1bp1	198	145	161	179	133	239	137	120
Itgb1bp2	8	7	8	1	0	10	0	4
Itgb2	11043	8479	9230	8769	5577	8465	3861	6240
Itgb2l	0	9	0	6	4	4	0	6
Itgb3	130	116	94	111	46	174	18	18
Itgb3bp	30	16	37	35	12	17	7	7
Itgb4	13	6	5	9	2	5	4	4
Itgb5	323	176	281	246	181	152	301	315
Itgb6	8	5	17	11	11	4	2	4
Itgb7	1856	1706	1142	1308	571	2282	342	315
Itgb8	10	25	9	23	5	9	2	0
Itgbl1	4	9	8	9	2	4	7	8
Itih1	6	7	2	2	2	0	0	0
Itih2	9	4	4	22	5	4	0	4
Itih3	10	3	1	13	3	0	2	0
Itih4	12	2	5	1	1	2	0	0
Itih5	4	7	7	16	3	16	1	3
Itk	10	10	9	8	4	8	0	9
Itln1	0	3	3	2	0	0	1	0
Itm2a	32	29	26	33	17	16	3	7
Itm2b	8014	6250	7548	8520	7192	12081	4942	7146
Itm2c	877	706	760	695	530	1269	715	721
Itpa	123	66	72	70	61	157	71	69
Itpk1	277	182	201	182	136	221	140	135
Itpka	1	0	1	0	0	0	0	0
Itpkb	294	245	187	207	180	131	95	96
Itpkc	7	10	9	16	5	11	4	3
Itpr1	496	467	488	406	262	808	149	142
Itpr2	315	314	377	312	196	322	116	150
Itpr3	132	44	80	46	28	20	47	31
Itpripl1	407	281	342	338	232	884	195	172
Itpripl2	104	74	121	84	82	129	82	111
Itsn1	102	111	124	174	100	72	76	179
Itsn2	959	791	613	786	512	654	286	410
Ivd	197	145	97	140	101	124	93	128
Ivl	1	0	1	3	2	3	0	0
Ivns1abp	997	992	1095	1257	775	1163	864	870
Iws1	234	212	189	242	150	218	126	120
Iyd	0	3	1	3	1	2	0	0
Izumo1	0	5	0	1	1	0	0	0
Izumo1r	0	0	3	0	0	0	0	1
Izumo2	0	1	1	0	0	0	0	0
Izumo3	0	2	9	2	2	0	0	1
Izumo4	38	13	42	34	14	20	18	10
Jade1	65	35	63	63	28	45	40	33
Jade2	272	213	266	161	148	24	86	53
Jade3	15	26	22	8	4	44	15	19
Jag1	50	29	80	60	66	37	48	58
Jag2	16	3	0	0	1	10	4	6
Jagn1	214	148	150	168	101	160	89	120
Jak1	1755	1280	1463	1475	1032	2046	886	853
Jak2	290	266	294	264	181	263	162	125
Jak3	290	220	179	193	82	140	152	174
Jakmip1	12	19	16	5	9	8	0	2
Jakmip2	5	8	6	7	3	1	0	7
Jakmip3	0	0	0	0	0	0	0	0
Jam2	9	13	3	1	0	0	1	23
Jam3	3	6	2	4	3	2	0	2
Jaml	111	86	54	77	49	71	369	159
Jarid2	1220	1090	846	1013	621	1605	293	308
Jazf1	7	30	7	8	8	68	10	1
Jcad	33	30	23	24	15	19	11	6
Jchain	5	2	7	11	2	4	1	1
Jdp2	13	13	10	8	8	3	7	12
Jhy	6	8	1	8	0	1	3	0
Jkamp	211	177	185	134	134	249	115	149
Jmjd1c	818	641	749	665	486	812	598	360
Jmjd4	77	63	69	63	64	82	18	35
Jmjd6	226	205	238	245	135	244	66	117
Jmjd7	1	1	1	0	0	1	0	1
Jmjd8	41	38	57	34	24	59	11	19
Jmy	38	39	72	51	44	112	38	46
Josd1	49	41	48	39	41	40	28	17
Josd2	152	85	110	87	81	134	44	65
Jph1	1	4	3	1	2	3	0	0
Jph2	1	1	0	1	1	0	4	0
Jph3	17	13	10	9	10	12	4	4
Jph4	1	9	4	3	3	4	0	0
Jpt2	152	173	175	231	151	203	166	269
Jrk	23	35	17	36	12	18	17	9
Jrkl	158	134	166	144	80	65	50	59
Jsrp1	0	5	1	3	1	0	0	0
Jtb	394	264	311	310	234	490	234	182
Jun	612	629	383	464	328	174	357	346
Junb	2198	1383	1465	1622	1075	3152	1081	1753
Jund	0	0	0	0	0	0	0	0
Jup	406	319	387	264	169	180	83	102
K230010J24Rik	6	3	2	0	3	0	0	0
Kalrn	18	11	31	11	8	12	10	6
Kank1	0	11	9	4	2	2	1	0
Kank2	22	4	11	8	25	4	6	10
Kank3	113	118	70	78	61	115	92	69
Kank4	0	0	4	1	3	0	0	0
Kansl1	519	401	453	436	290	424	162	138
Kansl1l	86	117	131	81	66	107	49	32
Kansl2	96	28	33	65	53	39	16	35
Kansl3	447	385	465	334	256	496	243	237
Kantr	121	65	73	102	75	181	21	29
Kap	0	1	1	1	0	0	1	1
Kars	393	301	315	374	288	461	318	269
Kat14	135	83	95	83	63	109	49	79
Kat2a	103	105	104	118	75	147	95	99
Kat2b	130	131	175	120	109	186	68	56
Kat5	174	141	121	128	85	178	84	75
Kat6a	595	495	516	537	344	665	138	172
Kat6b	90	133	172	125	65	139	79	46
Kat7	550	520	615	457	244	648	324	338
Kat8	183	104	168	184	93	155	42	55
Katna1	248	202	224	230	161	330	136	111
Katnal1	7	28	26	18	11	18	17	22
Katnal2	7	5	2	3	0	0	2	2
Katnb1	72	57	46	27	35	38	46	57
Katnbl1	114	87	103	88	70	138	76	77
Kazald1	0	1	2	1	0	0	31	14
Kazn	12	10	8	3	1	4	1	8
Kbtbd11	148	99	172	121	93	107	28	33
Kbtbd12	8	10	16	7	5	15	1	8
Kbtbd13	3	0	0	6	0	0	4	0
Kbtbd2	260	209	255	185	219	344	121	122
Kbtbd3	48	34	24	32	21	33	25	28
Kbtbd4	2	0	0	1	0	1	0	0
Kbtbd6	6	14	9	0	3	10	6	1
Kbtbd7	273	155	156	216	113	182	88	101
Kbtbd8	70	52	60	33	33	62	18	6
Kcmf1	165	140	114	146	98	141	127	92
Kcna1	3	0	6	4	1	0	0	0
Kcna10	0	1	0	1	0	2	0	0
Kcna2	8	16	16	13	17	1	4	2
Kcna3	1	15	19	11	14	17	27	16
Kcna4	0	11	6	11	0	0	1	2
Kcna5	1	4	1	1	0	0	0	1
Kcna6	1	2	9	1	2	0	1	3
Kcna7	0	0	0	0	0	1	0	0
Kcnab1	46	15	55	49	29	38	13	13
Kcnab2	338	228	195	239	145	354	150	154
Kcnab3	10	5	3	5	6	3	4	1
Kcnb1	17	11	9	20	17	16	4	4
Kcnb2	29	27	1	24	22	17	3	3
Kcnc1	2	1	11	1	0	0	0	0
Kcnc2	21	12	10	10	10	2	4	5
Kcnc3	0	1	1	1	0	0	1	0
Kcnc4	0	1	2	2	0	2	0	0
Kcnd1	7	27	2	16	12	6	2	5
Kcnd2	4	24	1	8	6	8	1	3
Kcnd3	9	9	12	4	0	2	2	1
Kcne1	0	0	0	0	1	8	1	0
Kcne1l	0	0	0	0	0	0	0	0
Kcne2	4	0	11	1	0	0	2	0
Kcne3	47	52	28	33	21	177	11	19
Kcne4	0	1	1	6	1	2	0	2
Kcnf1	0	4	2	2	1	1	3	0
Kcng1	0	1	0	0	0	0	0	1
Kcng2	0	0	2	8	1	8	1	0
Kcng3	0	3	6	3	6	0	0	2
Kcng4	1	2	2	0	4	0	1	0
Kcnh1	2	15	7	6	7	0	3	6
Kcnh2	1	3	13	1	0	0	0	0
Kcnh3	5	3	3	2	0	1	3	1
Kcnh4	8	6	4	13	3	0	0	4
Kcnh5	3	5	3	2	4	0	0	2
Kcnh6	2	7	6	0	6	2	0	0
Kcnh7	16	14	16	15	12	4	5	9
Kcnh8	4	4	14	4	5	1	2	0
Kcnip1	7	1	1	2	5	6	0	2
Kcnip2	1	0	0	1	1	7	0	0
Kcnip3	36	20	14	18	6	8	16	4
Kcnip4	17	15	1	11	5	0	5	1
Kcnj1	3	0	1	10	2	0	0	0
Kcnj10	6	2	14	12	37	1	24	8
Kcnj11	0	0	1	8	0	0	0	0
Kcnj12	0	1	1	5	0	7	0	0
Kcnj13	0	5	0	4	0	4	1	1
Kcnj14	0	2	0	0	0	3	1	0
Kcnj15	16	9	0	9	2	1	0	3
Kcnj16	0	6	7	18	0	0	0	2
Kcnj2	58	115	59	88	51	42	15	5
Kcnj3	1	9	3	3	0	2	0	2
Kcnj4	0	0	0	0	1	0	0	0
Kcnj5	5	6	1	0	4	2	0	2
Kcnj6	1	4	2	7	5	3	0	2
Kcnj8	0	3	5	1	0	18	0	0
Kcnj9	3	6	6	1	3	1	0	6
Kcnk1	0	2	0	0	0	0	0	0
Kcnk10	1	14	12	7	8	12	1	4
Kcnk12	1	1	1	0	0	2	0	0
Kcnk13	36	52	77	84	64	5	124	199
Kcnk15	0	0	1	0	0	0	0	0
Kcnk16	2	0	0	0	8	0	0	1
Kcnk18	3	0	2	4	0	0	1	0
Kcnk2	0	10	5	0	4	1	2	1
Kcnk3	1	7	11	1	1	0	0	1
Kcnk4	1	4	0	2	0	2	0	1
Kcnk5	2	0	6	3	2	2	1	0
Kcnk6	124	109	72	117	108	158	110	127
Kcnk7	20	13	8	17	8	23	2	0
Kcnk9	1	1	0	10	1	0	0	0
Kcnma1	12	29	23	33	4	5	5	9
Kcnmb1	4	8	5	4	1	4	0	0
Kcnmb2	1	2	1	1	0	6	1	2
Kcnmb3	1	8	3	5	0	8	2	1
Kcnmb4	4	1	3	3	1	1	0	0
Kcnn1	0	1	0	2	0	0	1	1
Kcnn2	15	20	10	7	8	2	6	6
Kcnn3	22	13	4	13	1	1	4	11
Kcnn4	119	135	85	145	105	26	187	264
Kcnq1	11	11	14	12	2	3	3	1
Kcnq2	9	11	20	13	10	2	3	3
Kcnq3	21	21	16	17	8	26	1	7
Kcnq4	3	3	2	2	0	2	0	0
Kcnq5	6	13	10	7	8	14	1	2
Kcnrg	116	67	100	92	52	107	6	23
Kcns1	0	0	1	1	1	2	0	6
Kcns2	0	5	2	1	5	1	3	0
Kcns3	4	2	4	1	1	0	0	1
Kcnt1	0	4	8	1	8	0	0	2
Kcnt2	5	7	9	8	5	3	2	5
Kcnu1	2	8	4	4	1	1	0	1
Kcnv1	4	7	4	5	0	2	0	0
Kcnv2	0	7	10	7	1	0	4	5
Kcp	12	5	25	3	8	2	8	3
Kctd1	3	6	7	4	7	5	6	2
Kctd10	173	145	159	177	95	387	59	84
Kctd11	53	48	50	46	47	68	29	36
Kctd12	318	303	349	426	321	531	365	391
Kctd12b	139	101	156	171	74	119	46	49
Kctd13	132	95	64	104	59	47	22	42
Kctd14	26	63	10	23	12	1	1	6
Kctd15	0	7	2	0	0	0	0	1
Kctd16	1	0	5	1	0	0	0	0
Kctd17	12	7	1	7	3	3	3	2
Kctd18	108	154	86	117	67	154	103	55
Kctd19	2	10	8	6	2	0	2	1
Kctd2	74	34	46	27	21	17	25	19
Kctd20	875	676	614	622	414	1413	322	283
Kctd21	58	74	81	70	65	114	25	28
Kctd3	34	41	58	35	45	42	39	26
Kctd4	36	33	16	39	17	22	13	11
Kctd5	201	144	104	173	147	115	74	106
Kctd6	20	12	29	33	10	31	12	6
Kctd7	25	17	43	46	19	27	28	25
Kctd8	0	0	2	2	0	0	3	1
Kctd9	142	78	89	107	73	71	51	46
Kdelc1	85	57	47	62	52	52	69	54
Kdelc2	8	13	27	23	29	9	21	18
Kdelr1	308	167	210	190	130	512	137	156
Kdelr2	604	323	396	400	333	855	316	443
Kdelr3	3	1	4	0	1	2	1	2
Kdf1	6	6	8	4	2	3	4	3
Kdm1a	129	90	115	95	62	91	78	55
Kdm1b	139	76	96	133	83	158	95	90
Kdm2a	721	675	769	555	541	836	306	256
Kdm2b	120	126	124	91	71	189	83	68
Kdm3a	309	264	298	229	235	401	142	156
Kdm3b	418	423	387	341	296	394	159	123
Kdm4a	78	54	72	75	41	108	39	41
Kdm4b	95	96	65	133	116	73	38	93
Kdm4c	349	228	355	284	208	401	113	159
Kdm4d	6	2	5	0	0	1	0	0
Kdm5a	1039	953	942	812	741	1116	457	299
Kdm5b	348	265	224	273	209	230	70	96
Kdm5c	407	297	292	280	162	326	127	134
Kdm5d	358	258	270	254	122	244	110	92
Kdm6a	285	288	280	329	211	341	146	123
Kdm6b	549	228	341	321	221	389	105	75
Kdm7a	963	741	715	705	587	1193	507	357
Kdm8	26	35	41	13	10	41	17	20
Kdr	4	23	15	23	5	18	0	7
Kdsr	66	58	70	93	66	183	70	51
Keap1	196	100	136	143	67	163	99	108
Keg1	0	4	3	1	0	0	2	1
Kel	7	8	5	5	0	0	1	4
Kera	0	4	6	0	2	0	3	0
Khdc1a	0	1	0	0	1	2	0	1
Khdc1b	0	0	0	2	0	0	1	0
Khdc1c	0	2	0	0	0	3	0	0
Khdc3	2	2	1	1	0	5	0	0
Khdrbs1	570	369	239	538	408	219	116	241
Khdrbs2	2	13	17	16	14	4	0	6
Khdrbs3	1	3	4	2	3	0	0	1
Khk	226	162	127	136	92	326	111	104
Khnyn	301	285	366	249	160	309	143	110
Khsrp	60	31	46	41	29	29	26	26
Kidins220	682	511	511	560	366	712	337	263
Kif11	0	0	11	2	6	0	16	17
Kif12	0	2	1	2	4	4	0	3
Kif13a	95	78	86	58	78	105	78	100
Kif13b	160	147	209	165	145	158	175	155
Kif14	7	8	14	9	5	5	16	14
Kif15	23	24	39	19	37	27	41	40
Kif16b	128	90	80	104	81	66	83	52
Kif17	2	12	4	1	1	5	0	1
Kif18a	9	27	39	9	11	21	32	16
Kif18b	4	4	15	6	2	4	21	17
Kif19a	16	22	10	14	11	12	12	16
Kif1a	21	17	18	8	14	10	17	22
Kif1b	166	191	196	235	194	315	184	203
Kif1bp	34	30	34	17	20	41	26	27
Kif1c	41	46	42	45	20	26	28	22
Kif20a	14	27	22	27	11	6	86	50
Kif20b	62	47	51	42	49	21	54	40
Kif21a	7	6	15	10	2	5	1	2
Kif21b	1005	778	980	764	451	395	191	177
Kif22	18	18	40	9	11	15	56	62
Kif23	116	101	208	117	85	115	82	55
Kif24	58	51	83	45	26	40	29	21
Kif26a	3	5	1	3	1	1	0	0
Kif26b	7	15	14	5	1	8	10	2
Kif27	4	4	9	10	4	3	0	1
Kif28	3	9	2	10	0	0	1	2
Kif2a	117	66	100	76	71	164	87	63
Kif2b	0	0	1	0	2	0	0	0
Kif2c	12	3	19	20	12	1	25	37
Kif3a	3	36	43	38	43	31	56	104
Kif3b	217	209	175	182	160	249	162	114
Kif3c	34	46	47	30	25	22	10	11
Kif4	2	4	15	1	8	1	19	27
Kif5a	1	4	8	4	1	4	3	2
Kif5b	1374	1038	1070	1134	808	1376	592	657
Kif5c	7	25	11	33	13	4	12	7
Kif6	4	9	4	7	5	1	1	1
Kif7	3	6	6	8	5	2	3	2
Kif9	77	44	53	72	37	188	21	29
Kifap3	60	81	51	69	30	103	82	86
Kifc1	11	2	7	0	2	1	8	8
Kifc2	25	15	15	28	19	20	8	5
Kifc3	39	35	32	49	17	54	14	31
Kifc5b	2	3	3	11	6	0	7	2
Kin	140	119	155	107	95	148	28	50
Kir3dl1	0	2	1	0	0	0	0	0
Kir3dl2	0	0	1	2	0	0	0	5
Kirrel	0	12	7	2	3	0	4	2
Kirrel2	0	3	0	2	1	0	0	2
Kirrel3	27	20	31	19	8	23	10	13
Kiss1r	0	0	5	6	0	0	0	0
Kit	101	38	49	48	36	8	3	7
Kitl	8	17	71	29	32	0	16	24
Kiz	95	113	90	108	45	115	63	45
Kl	4	8	4	6	11	0	3	2
Klb	4	13	5	7	6	2	0	2
Klc1	623	527	495	427	354	896	192	284
Klc2	5	10	11	6	10	7	6	3
Klc3	0	0	2	0	0	0	0	0
Klc4	68	82	70	150	135	196	244	237
Klf1	2	1	0	2	1	1	1	1
Klf10	1047	698	837	714	456	1223	500	423
Klf11	98	52	149	46	54	153	63	40
Klf12	3	16	10	3	2	1	5	1
Klf13	3739	1502	2610	1895	1575	4386	828	548
Klf14	2	0	1	0	3	3	0	0
Klf15	0	4	2	0	0	0	0	4
Klf16	42	14	16	22	20	32	11	7
Klf17	3	0	12	1	1	0	0	1
Klf2	417	213	443	310	257	339	46	58
Klf3	1949	992	2089	1460	1093	2068	534	513
Klf4	668	387	547	386	294	492	122	96
Klf5	12	3	3	3	5	2	0	1
Klf6	2163	1302	2532	1860	1501	3231	1059	1025
Klf7	192	176	205	108	116	148	94	86
Klf8	28	47	17	23	7	49	13	13
Klf9	47	26	50	53	50	20	90	41
Klhdc1	41	21	37	40	14	57	4	15
Klhdc10	63	74	73	71	48	148	79	44
Klhdc2	182	163	101	171	110	198	65	85
Klhdc3	261	189	193	234	151	566	161	193
Klhdc4	168	134	151	170	100	181	148	211
Klhdc7a	0	3	2	5	1	0	0	0
Klhdc7b	2	1	1	0	0	6	0	0
Klhdc8a	2	8	0	2	0	0	0	1
Klhdc8b	11	21	15	1	1	1	7	2
Klhdc9	1	1	3	1	1	8	5	1
Klhl1	7	9	14	12	13	1	4	9
Klhl10	0	2	2	0	1	8	1	1
Klhl11	37	61	89	62	49	100	46	23
Klhl12	235	160	195	151	76	106	60	39
Klhl13	5	5	15	6	6	0	3	6
Klhl14	6	1	0	3	4	0	0	3
Klhl15	67	98	78	83	44	102	50	47
Klhl18	311	214	254	194	175	353	97	105
Klhl2	243	155	138	206	114	173	68	66
Klhl20	211	180	213	156	102	230	88	114
Klhl21	89	62	114	80	73	225	73	73
Klhl22	96	79	105	100	60	148	61	80
Klhl23	3	3	16	2	4	13	5	1
Klhl24	539	510	726	775	470	819	358	331
Klhl25	55	55	64	53	65	92	73	60
Klhl26	117	78	89	77	51	105	35	47
Klhl28	191	172	172	246	125	242	97	105
Klhl29	3	5	1	4	1	2	7	7
Klhl3	8	4	7	3	13	8	23	2
Klhl30	0	0	3	0	2	1	1	4
Klhl31	4	10	2	10	9	1	0	3
Klhl32	15	17	9	8	4	14	5	6
Klhl33	6	14	17	12	9	4	23	15
Klhl34	4	0	5	1	0	0	0	0
Klhl35	7	5	5	4	2	15	2	2
Klhl36	118	139	112	77	64	117	70	60
Klhl38	0	0	1	0	0	4	1	1
Klhl4	3	1	2	0	7	12	0	0
Klhl40	0	1	1	1	0	0	0	0
Klhl41	3	6	7	12	2	2	1	2
Klhl42	75	70	61	74	66	84	13	21
Klhl5	548	323	345	369	313	236	147	124
Klhl6	215	261	225	237	192	350	594	453
Klhl7	104	96	121	117	91	162	78	100
Klhl8	13	13	18	29	17	19	7	9
Klhl9	455	364	387	449	366	959	359	423
Klk1	6	0	1	2	0	0	0	0
Klk10	0	0	0	1	0	1	1	0
Klk11	0	0	0	0	0	3	0	0
Klk12	0	0	2	1	0	1	0	0
Klk13	2	1	5	2	0	1	0	1
Klk14	0	0	0	0	0	0	0	0
Klk15	0	5	2	3	0	0	0	0
Klk1b1	1	9	2	1	0	1	1	0
Klk1b11	0	0	1	2	1	0	0	0
Klk1b16	0	6	0	0	0	0	0	1
Klk1b21	0	0	1	0	0	0	0	0
Klk1b22	0	6	4	9	0	0	0	0
Klk1b24	2	0	2	0	1	0	0	0
Klk1b26	3	1	3	0	0	0	0	0
Klk1b27	0	6	0	6	1	1	1	0
Klk1b3	0	0	0	0	0	0	1	0
Klk1b4	1	0	0	0	0	0	1	1
Klk1b5	0	0	0	2	2	1	0	0
Klk1b8	1	1	0	2	0	0	0	0
Klk1b9	0	4	0	0	0	0	1	0
Klk4	1	0	0	0	0	0	0	0
Klk5	0	3	3	1	0	0	0	0
Klk6	2	0	1	1	1	0	0	0
Klk7	1	1	0	5	0	0	0	0
Klk8	9	10	5	4	3	11	2	4
Klk9	3	0	0	0	1	1	0	2
Klkb1	13	7	4	6	0	3	3	1
Klra1	6	1	7	8	2	0	0	3
Klra10	0	1	0	4	2	0	0	0
Klra17	22	13	3	1	17	3	6	8
Klra2	1891	1093	1349	1278	984	3124	488	380
Klra3	1	1	7	2	4	7	1	5
Klra4	3	4	6	0	0	54	1	0
Klra5	1	5	5	4	1	1	1	0
Klra6	3	3	7	2	0	0	2	0
Klra7	0	3	3	6	0	40	0	0
Klra8	2	3	1	1	1	89	4	0
Klra9	5	2	1	1	3	29	0	1
Klrb1	2	8	8	1	3	2	0	0
Klrb1a	3	6	1	18	8	16	6	6
Klrb1b	89	107	30	72	53	8	109	80
Klrb1c	2	2	5	1	0	91	8	6
Klrb1f	32	10	4	7	2	111	3	3
Klrc1	0	3	2	1	1	28	0	1
Klrc2	0	1	6	1	2	16	0	1
Klrc3	1	4	0	1	0	8	1	0
Klrd1	155	174	31	62	21	69	3	13
Klre1	5	0	5	6	5	58	0	4
Klrg1	1	1	1	3	0	24	0	0
Klrg2	9	0	5	6	15	5	6	12
Klri1	26	80	29	50	9	4	2	1
Klri2	21	21	26	10	6	106	1	10
Klrk1	88	114	90	87	10	347	22	35
Kmo	251	151	82	146	51	145	46	68
Kmt2a	473	493	518	411	331	346	187	158
Kmt2b	218	173	171	104	125	168	65	57
Kmt2c	1065	892	990	766	563	851	351	294
Kmt2d	1179	1151	1201	923	823	1410	499	467
Kmt2e	1874	1643	1793	1637	1335	2218	544	608
Kmt5a	133	95	127	75	62	160	49	64
Kmt5b	453	353	307	339	290	313	107	137
Kmt5c	218	216	242	150	139	274	94	103
Kncn	8	4	0	4	1	4	1	1
Kndc1	2	4	16	2	5	0	1	0
Kng1	4	2	1	3	0	3	0	2
Kng2	2	3	4	3	7	0	0	0
Knl1	13	25	53	40	34	8	69	62
Knop1	136	124	143	136	101	168	87	132
Knstrn	75	28	47	33	44	26	102	51
Kntc1	15	28	22	19	12	12	17	34
Kpna1	487	381	428	390	356	589	273	357
Kpna2	87	65	104	61	48	117	63	84
Kpna3	161	226	239	193	179	290	286	259
Kpna4	789	489	932	711	556	484	256	245
Kpna6	188	163	127	121	88	176	92	104
Kpna7	4	3	11	4	3	1	0	0
Kpnb1	378	283	288	259	170	278	208	181
Kprp	0	1	2	10	3	4	1	0
Kptn	121	117	89	143	85	152	13	50
Kras	454	197	351	319	241	343	115	108
Krba1	11	21	39	34	4	4	13	14
Krcc1	426	313	287	422	281	436	198	227
Kremen1	71	74	50	100	73	83	38	60
Kremen2	1	2	0	1	0	0	0	0
Kri1	86	70	70	60	46	55	34	25
Krit1	608	463	559	676	485	833	289	260
Krr1	239	238	354	256	185	392	131	128
Krt1	0	3	10	2	0	0	0	0
Krt10	14	14	6	5	2	2	2	0
Krt12	0	1	2	4	2	0	0	0
Krt13	0	0	0	4	2	1	0	1
Krt14	0	0	2	0	1	0	0	1
Krt15	0	8	2	2	3	0	0	3
Krt16	0	6	1	0	0	0	0	0
Krt17	1	0	1	0	0	0	0	0
Krt18	3	2	2	2	0	0	5	2
Krt19	2	1	2	1	0	0	0	1
Krt2	0	3	0	2	2	4	0	0
Krt20	4	4	7	5	1	6	1	2
Krt222	0	4	9	6	0	0	0	0
Krt23	0	3	1	3	0	0	0	0
Krt24	0	3	1	0	0	0	0	1
Krt25	0	3	4	0	1	0	0	1
Krt26	8	16	3	17	9	3	0	0
Krt27	5	0	2	0	4	0	0	0
Krt28	1	2	1	4	0	1	0	0
Krt31	0	0	0	1	4	0	0	0
Krt32	7	1	3	2	0	0	0	0
Krt33a	4	2	0	2	0	0	1	0
Krt33b	1	4	0	0	0	4	2	2
Krt34	0	2	0	0	1	0	0	0
Krt35	1	2	2	2	0	0	0	0
Krt36	11	0	5	4	0	0	0	0
Krt39	7	8	1	4	0	4	0	1
Krt4	0	0	4	3	0	7	0	1
Krt40	0	0	6	2	0	0	0	0
Krt42	0	2	0	3	1	0	0	2
Krt5	0	0	0	1	1	0	0	0
Krt6a	2	0	0	0	1	0	0	0
Krt6b	0	2	1	0	0	0	0	0
Krt7	62	31	86	55	22	39	12	8
Krt71	3	0	3	4	0	1	1	1
Krt72	0	6	0	2	0	1	0	0
Krt73	1	10	1	4	3	0	3	0
Krt75	4	2	2	2	3	0	1	2
Krt76	2	3	3	1	0	1	1	0
Krt77	1	8	10	1	4	0	0	0
Krt78	0	0	0	3	5	0	0	0
Krt79	1	0	1	2	0	1	2	0
Krt8	5	0	1	0	1	0	2	3
Krt80	1949	1062	1248	1103	731	730	195	203
Krt81	0	1	0	0	0	5	1	0
Krt82	0	0	0	0	0	0	0	1
Krt83	0	6	0	0	0	2	1	1
Krt84	0	8	4	0	0	1	2	0
Krt86	1	3	4	0	0	3	1	1
Krt87	1	5	8	4	2	6	1	0
Krt88	0	1	0	0	1	4	0	0
Krt9	0	0	4	0	3	0	0	1
Krt90	1	2	0	0	2	4	2	0
Krtap1-3	0	0	0	0	0	3	1	1
Krtap1-4	0	0	1	0	0	0	0	1
Krtap1-5	0	1	2	1	0	0	0	2
Krtap10-10	0	0	0	0	0	0	0	0
Krtap10-4	0	2	0	0	0	0	0	0
Krtap11-1	0	1	0	4	0	0	0	0
Krtap12-1	0	0	1	0	0	0	0	0
Krtap13	0	0	0	0	0	0	0	0
Krtap13-1	0	1	0	0	0	1	1	0
Krtap14	0	4	2	0	1	0	1	1
Krtap15	1	0	0	1	0	0	0	0
Krtap16-1	1	0	0	1	0	0	0	0
Krtap16-3	0	0	1	0	0	0	0	1
Krtap17-1	0	0	0	0	0	0	0	0
Krtap19-1	0	0	0	0	0	0	0	0
Krtap19-2	0	1	0	0	0	0	0	0
Krtap19-3	0	0	0	0	0	0	0	0
Krtap19-4	0	1	0	0	0	0	0	0
Krtap19-5	0	0	1	0	0	0	0	0
Krtap19-9a	0	2	0	0	0	0	0	0
Krtap19-9b	0	0	0	0	0	0	0	0
Krtap2-4	0	0	6	0	1	0	0	0
Krtap20-2	1	0	1	0	0	0	0	0
Krtap21-1	0	5	0	0	0	0	0	0
Krtap22-2	0	0	0	0	0	0	0	0
Krtap24-1	0	0	7	9	5	4	0	0
Krtap26-1	1	0	0	2	0	0	0	0
Krtap27-1	0	0	0	0	0	0	0	0
