	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3
Lpcat2	1183	835	1003	979	941	587	703	749
Lpcat2b	3	0	0	2	0	0	0	0
Lpcat3	433	372	335	340	220	416	242	303
Lpcat4	498	246	224	213	169	105	18	35
Lpgat1	101	43	63	33	72	214	84	83
Lpin1	134	199	106	119	110	251	92	94
Lpin2	497	368	433	456	351	791	199	200
Lpin3	4	13	1	9	2	5	0	3
Lpl	546	646	395	625	203	1207	612	1139
Lpo	2	2	7	1	1	2	3	0
Lpp	335	306	365	351	276	776	493	496
Lpxn	530	298	401	420	214	398	348	330
Lrat	5	7	0	1	0	0	0	0
Lrba	180	127	218	140	89	109	45	41
Lrch1	493	499	408	507	312	563	207	237
Lrch2	2	7	2	5	4	0	0	5
Lrch3	333	289	269	305	210	355	144	155
Lrch4	32	31	26	24	19	19	5	6
Lrcol1	0	0	0	1	0	0	0	0
Lrfn1	4	1	1	8	1	1	0	0
Lrfn2	0	0	0	0	0	0	0	0
Lrfn3	0	1	0	0	0	0	0	3
Lrfn4	0	0	1	2	1	0	0	0
Lrfn5	25	14	4	8	12	1	1	7
Lrg1	1	0	0	1	0	0	63	389
Lrguk	15	12	13	2	6	8	7	0
Lrif1	254	178	171	187	254	210	116	89
Lrig1	3	4	2	26	4	3	1	2
Lrig2	229	223	184	218	112	356	110	93
Lrig3	18	12	17	10	2	1	3	7
Lrit1	0	1	12	3	3	0	0	0
Lrit2	0	0	3	3	1	4	0	1
Lrit3	0	1	3	0	2	0	2	1
Lrmda	61	79	39	57	39	96	44	44
Lrmp	795	658	732	713	447	709	291	224
Lrp1	5603	4033	4263	4103	2766	5784	3199	2893
Lrp10	1127	677	417	858	638	485	291	384
Lrp11	2	0	4	2	10	2	3	3
Lrp12	16	49	34	44	95	13	193	262
Lrp1b	58	38	59	63	33	19	13	16
Lrp2	19	20	46	18	13	14	14	5
Lrp2bp	8	4	1	6	3	4	4	4
Lrp3	0	0	3	4	0	0	0	1
Lrp4	80	43	63	53	29	25	31	15
Lrp5	144	105	115	107	75	85	36	44
Lrp6	139	177	183	139	140	98	110	118
Lrp8	13	25	11	10	14	5	19	16
Lrpap1	532	377	414	452	373	732	606	700
Lrpprc	296	277	271	246	181	343	212	239
Lrr1	1	7	4	2	2	5	10	11
Lrrc1	20	12	14	9	13	14	5	1
Lrrc10	0	1	0	0	1	1	1	0
Lrrc10b	0	0	1	0	0	0	0	0
Lrrc14	255	206	163	126	121	221	102	94
Lrrc14b	0	0	0	0	0	0	0	0
Lrrc15	5	5	6	10	4	2	0	1
Lrrc17	6	8	6	6	2	0	4	2
Lrrc18	68	55	44	81	39	64	23	13
Lrrc19	3	3	8	3	1	1	0	4
Lrrc2	2	10	5	6	2	5	1	2
Lrrc20	171	86	78	93	54	191	14	27
Lrrc23	2	2	0	5	0	3	0	0
Lrrc24	7	15	13	14	8	12	9	14
Lrrc25	925	565	634	522	488	890	361	372
Lrrc26	0	0	0	1	0	0	0	0
Lrrc27	0	0	0	0	1	0	5	4
Lrrc28	62	74	53	70	45	57	28	47
Lrrc29	34	24	25	42	14	14	24	16
Lrrc3	9	4	9	3	0	0	1	9
Lrrc30	0	1	0	3	0	1	0	0
Lrrc31	0	2	11	14	7	2	1	3
Lrrc32	3	3	4	2	0	0	0	0
Lrrc34	1	8	1	12	4	3	5	3
Lrrc36	3	4	6	5	2	1	0	1
Lrrc37a	5	13	23	35	9	3	6	0
Lrrc38	0	0	0	0	0	0	0	0
Lrrc39	12	12	14	16	9	22	9	5
Lrrc3b	3	2	0	0	0	5	0	0
Lrrc3c	0	0	0	0	0	0	0	1
Lrrc4	21	39	30	26	16	23	11	7
Lrrc40	127	104	76	110	62	90	122	79
Lrrc41	139	111	104	87	87	162	77	118
Lrrc42	66	42	22	35	36	53	33	15
Lrrc43	0	2	3	2	0	1	2	0
Lrrc45	244	241	222	167	163	231	87	87
Lrrc46	0	2	0	2	0	0	1	0
Lrrc47	31	30	24	23	5	21	25	16
Lrrc49	22	41	28	32	18	28	14	17
Lrrc4b	0	2	0	1	0	0	0	0
Lrrc4c	7	13	8	4	2	6	2	3
Lrrc51	6	8	5	9	6	6	2	2
Lrrc52	0	1	0	4	2	0	0	0
