	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
Axdnd1	11	28	5	12	10	5	17	19	13
Axin1	151	111	67	77	88	60	65	85	108
Axin2	2	7	1	3	2	7	4	6	7
Axl	35	50	9141	55	7	13	59	648	149
Aym1	1	0	0	1	0	0	0	0	0
Azgp1	1	2	1	0	4	3	3	1	5
Azi2	597	603	473	719	668	634	450	495	514
Azin1	689	598	820	725	743	561	505	530	697
Azin2	44	44	2	42	36	21	25	35	29
B020004C17Rik	0	7	0	4	0	0	4	2	0
B020004J07Rik	0	2	0	0	1	0	0	1	1
B020011L13Rik	1	5	0	14	0	2	0	4	2
B020031M17Rik	0	0	0	0	0	0	0	0	1
B130006D01Rik	42	52	13	72	73	64	38	62	28
B230104I21Rik	0	2	0	0	4	0	0	0	0
B230118H07Rik	49	13	62	24	25	23	23	27	33
B230217C12Rik	17	32	1	12	14	5	7	14	24
B230219D22Rik	331	440	250	489	477	373	209	337	647
B230307C23Rik	97	70	25	83	55	65	36	73	57
B2m	49580	28388	11690	29982	30475	25437	18100	19847	24753
B3galnt1	2	6	0	5	4	6	0	20	3
B3galnt2	282	459	131	535	583	316	272	258	402
B3galt1	0	8	2	6	10	2	5	15	16
B3galt2	38	57	23	89	58	84	59	59	39
B3galt4	142	132	95	85	99	89	67	45	94
B3galt5	4	9	0	9	3	0	14	17	2
B3galt6	47	56	131	57	30	15	51	39	23
B3gat1	7	7	2	10	6	0	1	0	8
B3gat2	15	32	12	22	27	13	9	14	10
B3gat3	140	58	69	68	53	55	38	42	54
B3glct	42	18	64	17	43	20	16	20	18
B3gnt2	2	0	5	0	0	0	1	1	3
B3gnt3	14	2	124	6	14	9	13	11	4
B3gnt4	0	0	0	0	0	0	0	0	0
B3gnt5	35	19	2	11	26	20	18	38	28
B3gnt6	7	2	0	5	12	0	6	5	4
B3gnt7	9	6	888	1	1	0	7	9	2
