	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
Klf15	1	2	1	0	0	0	1	1	9
Klf16	16	25	37	22	37	6	15	20	12
Klf17	1	2	1	0	3	0	0	0	0
Klf2	823	274	18	474	535	391	260	286	325
Klf3	2090	1352	551	1968	2410	2084	1615	1284	1865
Klf4	1187	637	307	864	751	695	344	329	507
Klf5	1	6	4	4	11	2	4	8	0
Klf6	3158	1527	1832	2205	2695	1612	2307	2014	2830
Klf7	354	189	213	176	154	142	90	138	104
Klf8	8	15	87	10	12	5	6	19	21
Klf9	66	43	37	37	71	42	47	185	74
Klhdc1	57	74	52	60	35	19	31	13	25
Klhdc10	69	59	62	75	79	39	59	90	53
Klhdc2	327	138	118	170	236	205	75	122	241
Klhdc3	455	232	304	233	230	163	174	357	302
Klhdc4	253	135	3700	95	132	116	102	133	175
Klhdc7a	1	5	0	7	0	1	2	4	3
Klhdc7b	10	4	0	6	1	2	0	0	0
Klhdc8a	0	3	5	4	0	0	0	4	2
Klhdc8b	5	12	8	7	6	8	22	24	6
Klhdc9	0	2	4	0	4	0	0	4	4
Klhl1	5	11	3	24	7	3	5	22	19
Klhl10	1	3	1	5	1	0	2	7	5
Klhl11	60	78	57	92	114	67	65	101	94
Klhl12	239	259	20	243	205	174	185	220	218
Klhl13	3	8	0	21	11	0	2	6	18
Klhl14	1	3	1	4	1	1	7	2	3
Klhl15	51	81	52	82	62	88	25	79	86
Klhl18	283	271	150	341	285	184	201	215	355
Klhl2	159	218	91	197	173	132	167	210	259
Klhl20	127	241	161	213	193	170	180	201	183
Klhl21	74	86	173	108	164	104	116	65	105
Klhl22	144	107	122	101	178	98	115	132	123
Klhl23	6	10	10	14	10	14	2	5	6
Klhl24	611	624	548	1003	813	598	655	579	577
Klhl25	70	72	334	118	71	53	54	77	77
Klhl26	97	93	111	102	66	63	76	67	91
Klhl28	134	219	200	247	256	174	176	162	168
Klhl29	7	23	3	17	9	4	13	11	14
Klhl3	5	14	105	7	12	1	7	10	22
Klhl30	8	7	2	6	11	12	11	4	2
Klhl31	0	33	0	11	11	7	10	17	20
Klhl32	5	43	3	39	7	2	5	12	7
Klhl33	5	12	30	2	4	7	11	8	13
Klhl34	0	5	0	8	8	0	4	0	2
Klhl35	7	4	11	14	6	8	9	5	7
Klhl36	162	122	192	105	89	87	70	110	97
Klhl38	0	2	0	0	0	1	1	2	0
Klhl4	5	13	0	8	4	1	12	9	4
Klhl40	0	0	1	0	9	0	0	1	0
Klhl41	10	3	9	8	14	9	8	4	3
Klhl42	56	46	57	93	95	51	26	65	56
Klhl5	715	444	221	513	434	333	311	414	355
Klhl6	312	230	399	266	216	158	306	854	306
Klhl7	105	131	154	181	158	108	120	91	149
Klhl8	25	20	17	12	35	4	12	29	12
Klhl9	258	465	1768	533	440	326	332	440	540
Klk1	1	0	0	1	2	0	0	0	1
Klk10	0	0	1	1	0	5	1	2	2
Klk11	0	1	0	0	0	0	1	0	0
Klk12	0	1	0	0	0	0	2	2	4
Klk13	2	1	7	12	5	4	2	3	0
Klk14	1	2	0	3	0	0	0	1	1
Klk15	2	5	0	0	0	2	0	2	3
Klk1b1	0	0	0	0	0	0	0	0	3
Klk1b11	0	0	2	0	0	0	0	0	1
Klk1b16	1	0	2	2	0	0	0	0	4
Klk1b21	0	0	1	0	0	0	1	5	2
Klk1b22	0	1	0	0	0	1	1	1	9
Klk1b24	0	1	0	0	0	2	0	4	1
Klk1b26	1	1	2	2	4	0	1	7	3
Klk1b27	0	0	2	0	0	1	2	0	0
Klk1b3	0	4	0	1	2	0	0	0	0
Klk1b4	0	3	0	0	0	0	2	0	0
Klk1b5	0	5	0	0	0	0	1	0	0
Klk1b8	1	3	0	2	8	2	1	0	2
Klk1b9	0	0	0	0	0	0	0	1	0
Klk4	1	2	0	0	0	0	0	3	2
Klk5	0	4	0	1	0	0	0	0	3
Klk6	1	4	2	1	1	0	2	5	0
Klk7	1	0	0	2	0	0	0	1	4
Klk8	4	0	85	7	0	3	0	11	5
Klk9	0	0	2	6	1	0	0	1	1
Klkb1	16	1	12	2	7	0	11	23	10
Klra1	85	15	3	49	16	60	17	24	5
Klra10	0	3	0	6	0	3	8	3	2
Klra17	12	15	1	5	8	8	26	13	8
Klra2	3053	1721	1414	1746	1478	1298	907	1852	1704
Klra3	76	21	0	55	6	11	15	13	2
Klra4	191	87	0	130	14	101	124	25	1
Klra5	8	2	1	3	5	10	5	4	2
Klra6	11	8	0	10	3	5	3	1	3
Klra7	95	34	0	72	5	70	103	67	0
Klra8	79	26	0	27	2	27	73	25	4
Klra9	41	20	0	15	4	20	23	18	13
Klrb1	14	3	4	12	2	8	4	5	6
Klrb1a	73	27	0	19	6	20	22	27	3
Klrb1b	65	9	24	31	15	17	57	78	15
Klrb1c	234	89	1	95	11	117	158	123	9
Klrb1f	87	46	0	38	18	25	35	46	13
Klrc1	90	18	3	46	8	77	43	60	8
Klrc2	63	38	0	24	1	18	70	25	9
Klrc3	13	3	4	4	4	5	13	11	4
Klrd1	349	77	0	103	22	102	201	102	114
Klre1	235	52	0	98	14	98	160	52	16
Klrg1	171	33	0	40	5	64	53	33	8
Klrg2	1	2	6	3	0	2	6	10	3
Klri1	23	8	0	1	7	3	19	11	18
Klri2	143	91	3	82	32	110	88	78	24
Klrk1	463	203	6	189	71	175	454	372	173
Kmo	75	32	1	18	24	22	152	81	128
Kmt2a	501	484	276	524	630	367	341	321	380
Kmt2b	222	166	112	164	227	118	91	116	129
Kmt2c	978	943	501	1098	995	794	554	641	834
Kmt2d	2036	1185	785	1264	1278	1001	702	900	1075
Kmt2e	2968	2028	1362	2323	2253	1500	1185	1487	1833
Kmt5a	246	123	226	132	107	121	79	50	113
Kmt5b	354	345	236	360	465	326	240	348	389
Kmt5c	255	169	231	197	205	202	122	168	193
Kncn	9	3	4	4	1	3	1	5	4
Kndc1	14	24	3	12	7	11	5	19	6
Kng1	0	14	4	6	3	2	6	12	12
Kng2	1	5	2	2	2	0	1	5	9
Knl1	28	54	85	52	26	57	16	37	20
Knop1	187	136	124	115	176	118	87	116	141
Knstrn	73	48	93	67	42	30	26	27	27
Kntc1	19	43	40	36	13	6	5	28	30
Kpna1	344	663	587	661	713	384	418	456	602
Kpna2	203	79	98	108	129	74	87	104	104
Kpna3	193	186	561	272	310	147	205	224	246
Kpna4	770	827	293	1082	974	1043	831	510	825
Kpna6	213	164	155	165	168	93	105	141	134
Kpna7	1	6	2	8	2	2	5	8	4
Kpnb1	444	294	299	309	261	185	182	320	312
Kprp	2	8	0	0	0	5	0	4	4
Kptn	295	151	72	143	118	85	96	80	92
Kras	490	307	90	389	469	329	257	323	485
Krba1	13	24	4	37	32	24	13	51	22
Krcc1	569	442	931	355	411	238	276	244	379
Kremen1	60	73	52	81	114	92	55	111	127
Kremen2	3	2	0	2	4	0	2	0	1
Kri1	142	107	19	96	84	73	57	110	92
Krit1	611	679	353	606	667	524	477	539	583
Krr1	403	331	257	340	339	226	161	167	266
Krt1	3	10	2	3	0	0	1	3	10
Krt10	16	17	9	15	11	6	1	6	7
Krt12	2	3	0	1	4	0	0	3	2
Krt13	0	5	3	8	0	0	5	2	3
Krt14	0	4	0	3	0	1	3	1	3
Krt15	0	4	0	0	3	0	2	1	3
Krt16	0	4	2	9	1	2	0	0	1
Krt17	0	1	0	1	1	1	0	1	0
Krt18	0	2	2	4	0	0	1	4	0
Krt19	0	4	2849	0	0	0	1	0	0
Krt2	2	2	1	2	4	0	4	2	3
Krt20	2	15	2	0	1	3	0	7	7
Krt222	2	7	2	3	10	4	11	1	16
Krt23	2	4	1	0	0	0	2	2	3
Krt24	3	2	0	3	0	0	3	1	3
Krt25	6	10	2	2	1	0	3	2	1
Krt26	1	10	2	13	3	9	4	1	11
Krt27	4	1	0	4	2	0	0	1	1
Krt28	0	1	0	7	0	0	0	0	0
Krt31	8	0	0	3	2	0	2	1	0
Krt32	1	8	0	2	1	0	3	0	4
Krt33a	1	7	0	0	2	0	1	0	4
Krt33b	2	7	0	5	1	0	1	3	5
Krt34	0	0	3	0	1	0	3	2	2
Krt35	4	8	0	6	0	0	1	1	1
Krt36	3	5	1	1	1	3	4	1	0
Krt39	1	4	1	10	0	5	8	12	9
Krt4	10	1	1	5	1	0	4	4	4
Krt40	1	3	0	1	1	0	0	1	3
Krt42	2	3	0	4	0	0	0	3	2
Krt5	0	0	1	0	1	0	1	2	0
Krt6a	0	2	3	0	0	0	1	0	0
Krt6b	2	2	0	1	0	0	0	2	0
Krt7	85	62	2	57	55	58	28	32	34
Krt71	1	3	0	6	1	1	4	0	7
Krt72	2	1	1	5	4	1	1	5	5
Krt73	1	2	4	6	0	0	5	10	4
Krt75	0	5	0	13	8	1	3	7	7
Krt76	2	1	0	2	0	3	6	7	2
Krt77	0	3	5	5	2	1	1	5	7
Krt78	3	0	9	1	1	0	2	6	0
Krt79	1	3	3764	2	0	1	0	0	1
Krt8	1	0	4	0	1	0	1	1	0
Krt80	3099	1479	71	1938	1735	1243	994	1297	1745
Krt81	0	0	0	1	0	1	0	3	0
Krt82	0	8	0	0	4	2	1	0	0
Krt83	1	0	2	4	0	10	2	3	2
Krt84	2	3	0	10	1	5	2	10	1
Krt86	7	2	0	0	3	0	1	2	1
Krt87	7	5	1	6	8	7	11	3	7
Krt88	0	0	0	0	3	0	2	7	0
Krt9	0	5	0	1	0	3	0	0	1
Krt90	2	1	0	4	3	0	0	0	0
Krtap1-3	0	3	0	0	0	0	0	1	0
Krtap1-4	0	1	0	0	0	0	0	0	0
Krtap1-5	0	10	0	0	0	0	1	0	3
Krtap10-10	0	0	0	1	0	0	0	0	2
Krtap10-4	0	0	0	0	2	0	2	1	0
Krtap11-1	0	0	1	1	0	0	0	1	1
Krtap12-1	0	1	0	0	0	0	2	0	1
Krtap13	0	0	0	1	0	0	0	0	0
Krtap13-1	0	3	0	5	0	0	0	2	0
Krtap14	0	6	0	1	0	0	2	3	1
Krtap15	0	3	1	3	0	0	0	1	2
Krtap16-1	1	0	2	4	0	0	0	1	2
Krtap16-3	0	0	0	1	0	0	3	0	3
Krtap17-1	0	0	0	0	0	0	1	0	0
Krtap19-1	0	3	0	0	0	1	0	0	0
Krtap19-2	0	0	0	0	0	0	0	0	0
Krtap19-3	0	0	0	0	0	3	2	0	0
Krtap19-4	0	0	0	0	0	0	0	0	0
Krtap19-5	7	0	0	2	1	1	0	0	2
Krtap19-9a	0	4	0	0	0	0	1	0	0
Krtap19-9b	0	0	0	0	0	0	0	0	0
Krtap2-4	3	1	1	0	2	0	1	0	1
Krtap20-2	0	1	0	0	1	0	0	0	2
Krtap21-1	0	1	0	0	4	0	1	2	0
Krtap22-2	0	0	0	0	0	0	0	0	0
Krtap24-1	3	6	2	4	0	3	1	6	2
Krtap26-1	0	3	0	0	2	5	2	3	2
Krtap27-1	0	2	0	0	0	0	0	0	0
Krtap28-10	0	2	0	0	0	0	1	0	0
Krtap28-13	0	1	0	0	2	0	0	0	0
Krtap29-1	1	2	1	0	2	1	1	4	4
Krtap3-1	0	1	0	0	1	0	1	0	0
Krtap3-2	0	0	0	1	0	0	2	1	0
Krtap3-3	0	0	0	0	1	0	0	0	0
Krtap31-1	0	0	0	0	0	0	0	0	0
Krtap31-2	4	4	0	1	0	1	1	0	0
Krtap4-1	0	3	0	0	0	0	0	1	0
Krtap4-13	0	0	0	0	0	0	0	0	0
Krtap4-16	0	0	0	1	0	0	0	0	0
Krtap4-2	0	1	0	0	0	0	0	0	0
Krtap4-6	1	0	0	0	0	0	0	1	0
Krtap4-7	0	0	0	0	0	0	0	0	0
Krtap4-8	0	1	0	0	0	0	0	0	1
Krtap4-9	0	5	0	0	2	2	0	0	0
Krtap5-1	0	0	1	0	0	0	0	0	0
Krtap5-2	0	2	0	0	0	0	1	0	0
Krtap5-3	0	1	1	1	1	0	1	0	0
Krtap5-4	0	1	0	3	0	0	1	0	0
Krtap5-5	0	3	0	0	1	0	0	0	0
Krtap6-1	0	1	0	3	1	0	0	1	1
Krtap6-2	3	4	0	0	0	0	0	0	0
Krtap6-3	0	0	0	0	2	0	0	0	0
Krtap6-5	0	1	0	3	1	2	0	2	0
Krtap7-1	0	0	0	0	0	0	0	1	0
Krtap8-1	0	0	0	4	0	0	0	4	0
Krtap9-1	0	2	0	0	1	0	0	1	6
Krtap9-3	0	2	0	1	0	0	0	0	1
Krtap9-5	0	2	0	1	0	0	2	0	2
Krtcap2	443	137	377	139	163	127	109	145	178
Krtcap3	21	12	8	5	21	12	7	14	9
Krtdap	0	0	0	1	0	0	2	3	1
Ksr1	10	11	21	11	4	11	6	35	24
Ksr2	11	47	12	33	36	11	19	23	21
Kti12	182	75	87	92	89	60	68	108	63
Ktn1	300	212	115	228	184	147	215	244	219
Kxd1	529	241	379	273	297	201	171	328	243
Ky	0	6	0	15	0	2	3	1	4
Kyat1	38	20	32	19	22	36	10	25	32
Kyat3	27	23	42	14	19	4	11	24	25
Kynu	85	84	475	27	33	47	35	47	59
L1cam	894	1430	387	1500	1806	944	852	530	1173
L1td1	3	2	0	1	5	4	0	4	0
L2hgdh	5	8	26	19	19	0	8	13	9
L3hypdh	2	10	23	7	4	0	3	1	0
L3mbtl1	2	9	2	7	1	2	2	6	2
L3mbtl2	196	177	124	174	149	114	80	135	141
L3mbtl3	140	170	110	189	147	113	113	146	179
L3mbtl4	6	9	4	10	7	3	2	6	0
Lacc1	212	160	3	253	279	161	119	192	182
Lactb	69	40	66	53	39	21	49	38	42
Lactb2	101	100	229	101	103	73	105	109	107
Lactbl1	0	0	0	4	0	1	0	3	2
Lad1	1	7	10	1	2	0	1	0	1
Lag3	3	0	3	5	0	4	7	4	2
Lage3	114	45	68	48	39	35	23	34	35
Lair1	4114	2123	1025	2567	2878	2287	1784	2141	2554
Lalba	1	6	0	2	0	0	0	0	0
Lama1	15	35	8	22	28	2	6	26	18
Lama2	16	50	20	53	30	8	43	33	44
Lama3	19	11	4	30	13	4	14	9	18
Lama4	13	35	5	23	18	12	24	28	17
Lama5	14	29	1	25	3	5	5	29	4
Lamb1	5	6	4	49	12	14	19	24	19
Lamb2	11	17	6	11	2	3	3	12	1
Lamb3	27	29	12	18	12	7	43	16	3
Lamc1	6	27	23	2	11	8	11	45	21
Lamc2	12	18	4	19	2	10	11	18	10
Lamc3	2	10	2	3	10	4	3	7	8
Lamp1	2549	2424	1364	2965	3190	1987	1290	3526	3730
Lamp2	3350	2859	5009	3309	3059	1824	2573	4143	3095
Lamp3	9	14	1	3	20	2	3	6	9
Lamp5	4	7	0	10	3	0	3	4	1
Lamtor1	515	377	533	399	356	239	237	465	350
Lamtor2	484	250	738	288	288	218	157	181	220
Lamtor3	554	300	495	305	264	240	240	281	268
Lamtor4	306	120	160	105	111	78	65	94	108
Lamtor5	671	229	367	222	243	206	154	193	250
Lancl1	203	118	164	170	141	78	85	121	138
Lancl2	59	90	91	89	79	42	61	70	98
Lancl3	1	5	1	8	8	0	3	3	0
Lao1	2	0	0	4	1	4	6	2	10
Lap3	187	85	546	89	76	40	68	91	91
Laptm4a	4533	1762	1666	1882	1880	1369	1182	1663	1686
Laptm4b	152	112	437	81	66	58	21	47	27
Laptm5	17177	11493	16207	11883	11459	7848	7686	9430	10851
Large1	18	62	135	31	24	8	9	32	23
Large2	2	6	1	0	2	1	1	9	4
Larp1	159	142	150	127	108	88	79	124	108
Larp1b	31	15	47	26	37	28	22	42	48
Larp4	108	128	147	170	142	117	83	154	157
Larp4b	1601	720	1035	766	657	609	509	609	695
Larp6	0	5	1	8	2	3	0	1	1
Larp7	353	182	143	157	137	135	83	125	126
Lars	202	317	481	329	235	206	185	249	321
Lars2	1458	992	1688	1443	1742	2157	583	1207	1428
Las1l	320	182	246	229	219	145	133	195	228
Lasp1	1027	1212	848	1224	1126	762	811	1026	1224
Lat	7	2	7	7	0	2	13	19	4
Lat2	524	224	7	279	287	151	167	236	277
Lats1	109	132	130	134	165	103	85	144	153
Lats2	283	327	74	421	367	240	259	275	337
Lax1	37	10	1	46	8	17	34	40	2
Layn	8	12	0	2	9	7	12	15	8
Lbh	485	215	11	215	219	263	205	197	226
Lbhd1	69	79	25	43	90	56	33	42	42
Lbhd2	0	1	0	6	0	0	0	1	0
Lbp	21	17	5	0	4	1	33	20	12
Lbr	208	638	69	620	514	601	676	784	707
Lbx1	0	0	0	0	2	1	0	0	4
Lbx2	0	0	5	0	2	1	2	0	0
Lca5	9	11	19	7	10	8	5	10	3
Lca5l	1	14	5	0	11	6	0	6	3
Lcat	0	5	6	0	5	2	1	0	0
Lce1a1	0	0	0	0	0	0	0	0	0
Lce1a2	0	1	0	0	0	0	0	0	0
Lce1b	0	2	0	3	0	0	0	0	1
Lce1c	0	2	0	0	0	1	1	0	0
Lce1d	0	0	0	0	0	0	0	0	0
Lce1e	0	4	0	0	4	0	1	4	0
Lce1f	0	3	0	0	0	0	0	0	1
Lce1g	0	0	0	0	0	0	0	0	0
Lce1h	0	3	0	1	0	1	0	0	0
Lce1i	0	1	0	0	1	0	0	0	1
Lce1j	0	5	1	0	0	0	1	3	1
Lce1k	0	0	0	0	0	0	1	3	0
Lce1l	0	1	0	3	2	0	1	1	2
Lce1m	1	1	0	1	0	1	0	0	0
Lce3a	2	4	2	4	4	0	0	2	0
Lce3b	0	0	1	0	0	0	0	0	1
Lce3c	0	1	0	3	0	0	0	0	1
Lce3d	1	0	0	3	1	0	0	1	1
Lce3e	0	1	0	0	0	0	1	0	0
Lce3f	0	3	0	1	0	0	0	0	2
Lce6a	5	3	0	3	1	0	0	9	0
Lck	320	76	4	137	39	122	150	92	9
Lclat1	58	107	118	85	71	52	53	94	80
Lcmt1	186	129	200	106	114	103	55	96	100
Lcmt2	165	99	69	109	68	64	46	74	80
Lcn10	0	3	1	1	0	2	0	0	2
Lcn11	0	1	1	2	0	0	0	0	1
Lcn12	1	3	1	2	0	0	4	1	4
Lcn2	6	1	2	0	1	0	62	14	1
Lcn3	0	5	1	0	1	6	0	0	0
Lcn4	1	1	0	4	2	0	2	1	7
Lcn5	0	1	0	2	0	2	1	2	1
Lcn6	7	7	1	7	3	4	1	5	0
Lcn8	0	9	0	4	1	2	1	4	0
Lcn9	0	0	1	4	1	0	4	2	2
Lcor	290	295	403	319	321	254	199	260	233
Lcorl	176	217	171	237	176	109	148	149	222
Lcp1	11036	13394	13729	12086	11675	7544	6967	7680	10615
Lcp2	3660	2880	1362	3024	2637	2306	1847	2005	2877
Lct	4	15	4	15	10	4	21	10	4
Lctl	5	12	0	15	1	9	6	3	0
Ldah	909	529	468	561	509	316	304	403	487
Ldb1	111	83	39	82	101	73	38	77	84
Ldb2	8	5	2	6	0	3	3	2	8
Ldb3	2	10	3	15	4	9	17	3	18
Ldha	3838	1502	3147	1552	1519	919	1372	1871	1762
Ldhal6b	0	0	0	0	0	0	0	0	0
Ldhb	57	20	3	21	12	7	5	34	17
Ldhc	9	2	0	1	1	2	2	10	8
Ldhd	0	7	26	0	2	1	3	13	4
Ldlr	828	1286	694	1198	1372	839	790	1063	1302
Ldlrad1	1	8	4	8	6	2	1	3	7
Ldlrad2	0	3	0	0	0	2	2	0	1
Ldlrad3	2211	2437	125	2801	2433	1811	1110	1006	1613
Ldlrad4	70	41	161	35	51	49	34	35	40
Ldlrap1	673	621	403	625	619	505	418	571	714
Ldoc1	0	4	1	0	5	3	0	0	0
Leap2	0	3	3	10	4	8	4	0	2
Lect2	0	0	0	1	0	0	2	0	0
Lef1	27	39	2	20	16	1	15	34	14
Lefty1	3	3	4	3	0	0	3	7	0
Lefty2	1	1	0	0	0	7	0	8	4
Lekr1	9	35	11	21	10	5	15	23	6
Lelp1	2	1	0	6	0	0	4	1	1
Lemd1	9	6	1	2	0	2	3	16	5
Lemd2	147	83	61	111	62	76	54	96	73
Lemd3	32	57	31	79	36	85	67	50	53
Lenep	0	0	0	0	0	0	0	0	0
Leng1	130	54	76	71	87	44	34	50	49
Leng8	956	1364	684	1403	1299	936	930	1489	1471
Leng9	500	245	75	261	138	114	90	150	191
Leo1	165	102	179	89	92	60	58	80	124
Lep	5	5	0	2	2	0	4	4	5
Lepr	8	35	715	8	13	11	7	27	9
Leprot	1297	791	1436	798	721	466	469	712	751
Leprotl1	846	524	798	485	473	348	316	389	480
Letm1	657	425	478	455	463	286	354	418	426
Letm2	88	84	16	67	52	59	55	29	36
Letmd1	309	207	196	173	139	120	118	184	156
Lexm	1	3	1	5	2	0	4	6	0
Lfng	153	117	56	198	127	96	118	147	160
Lgals1	886	197	1546	227	108	181	230	186	174
Lgals12	2	4	2	0	8	0	7	9	0
Lgals2	0	0	0	0	1	0	1	0	0
Lgals3	5647	2129	11618	2204	2101	1594	1698	3091	2745
Lgals3bp	565	344	1088	320	242	256	237	647	183
Lgals4	11	15	110	2	8	9	14	5	7
Lgals7	1	2	0	1	0	2	0	0	1
Lgals8	471	355	992	389	384	219	301	491	393
Lgals9	380	187	433	193	95	197	164	437	244
Lgalsl	4	9	17	0	7	0	2	35	9
Lgi1	3	15	3	12	14	2	15	15	4
Lgi2	0	5	0	4	5	3	4	7	8
Lgi3	4	4	1	1	1	2	3	4	4
Lgi4	3	1	3	12	1	0	2	7	5
Lgmn	2271	1134	1275	1228	944	762	988	1757	1078
Lgr4	13	16	5	9	5	12	4	16	16
Lgr5	25	29	2	10	8	4	7	12	14
Lgr6	2	7	1	20	16	7	2	10	15
Lgsn	0	2	0	7	6	0	4	0	0
Lhb	0	0	0	0	0	0	0	0	0
Lhcgr	2	12	0	16	6	1	4	5	4
Lhfp	8	20	1	27	5	7	0	23	19
Lhfpl1	0	0	0	0	0	2	2	0	2
Lhfpl2	3	7	443	6	16	1	10	10	5
Lhfpl3	10	12	4	26	1	2	2	8	3
Lhfpl4	1	4	1	4	0	0	0	3	2
Lhfpl5	0	2	1	5	1	2	0	0	0
Lhpp	55	33	31	41	26	37	15	15	50
Lhx1	2	7	0	1	0	5	0	4	0
Lhx2	0	6	2	9	4	1	0	3	0
Lhx3	1	0	2	1	0	0	0	0	1
Lhx4	7	3	4	13	9	7	1	10	6
Lhx5	0	1	0	4	0	0	0	2	5
Lhx6	5	4	0	3	3	2	13	3	2
Lhx8	1	9	0	2	0	0	4	8	4
Lhx9	3	8	0	14	10	18	3	5	3
Lias	401	164	232	208	204	127	121	177	192
Lif	5	7	21	9	10	6	2	6	6
Lifr	350	316	4	338	213	236	586	1801	1239
Lig1	80	69	103	107	104	41	28	44	87
Lig3	83	86	107	110	114	67	74	62	109
Lig4	24	22	32	20	23	39	18	25	20
Lilr4b	302	400	1269	395	239	171	629	1507	838
Lilra5	2448	1339	2036	1462	1320	1022	937	1010	1395
Lilra6	106	35	117	59	57	23	70	73	110
Lilrb4	223	624	898	572	551	325	586	1123	1070
Lilrb4a	0	0	0	0	0	0	0	0	0
Lim2	1	2	0	6	0	0	1	4	4
Lima1	409	528	1692	462	421	245	270	284	406
Limch1	8	16	8	17	17	5	9	7	16
Limd1	961	1155	350	1289	1289	912	761	971	1180
Limd2	6040	3453	23	2765	2697	1850	1248	2071	2471
Lime1	0	0	0	0	2	0	0	0	0
Limk1	86	45	11	47	56	32	41	76	41
Limk2	123	98	174	124	112	79	98	120	121
Lims1	2486	2074	697	1953	1935	1375	1221	1543	1647
Lims2	2	3	2	5	4	0	1	2	2
Lin28a	1	0	0	4	7	3	6	2	5
Lin28b	16	18	4	14	14	1	13	17	19
Lin37	204	130	79	115	116	60	55	75	86
Lin52	91	61	68	83	56	48	58	34	46
Lin54	71	93	49	138	115	134	57	100	143
Lin7a	9	20	1	2	7	0	9	5	4
Lin7b	4	0	1	0	1	0	0	0	0
Lin7c	350	607	540	594	509	420	472	639	615
Lin9	61	43	37	86	61	44	77	98	51
Lingo1	1	0	0	2	6	1	2	6	3
Lingo2	7	7	1	19	3	2	13	10	8
Lingo3	0	3	1	3	1	0	0	0	1
Lingo4	0	0	0	1	1	1	3	4	2
Lins1	45	30	48	20	45	5	35	17	48
Lipa	1472	949	5772	1296	1120	886	1053	1098	1167
Lipc	3	3	0	7	9	5	0	1	6
Lipe	535	334	44	350	333	265	216	359	319
Lipf	8	5	249	6	2	6	1	1	3
Lipg	3	3	0	4	12	0	9	7	2
Liph	2	8	52	7	3	2	4	4	3
Lipi	3	17	1	0	3	0	11	2	9
Lipk	4	1	0	0	4	0	3	8	2
Lipm	0	5	0	3	5	2	2	2	0
Lipn	1	9	2	2	6	1	2	3	2
Lipo1	0	8	0	5	3	1	0	2	2
Lipo2	0	1	0	7	0	1	7	10	6
Lipo3	68	34	154	23	51	24	38	38	28
Lipo4	2	2	0	3	2	0	2	3	1
Lipo5	3	2	0	0	2	0	1	1	9
Lipt1	11	0	15	8	2	3	0	2	6
Lipt2	28	26	91	37	16	10	11	8	15
Litaf	2312	1041	1911	1225	909	743	1009	1409	1433
Lix1	6	7	40	8	0	1	15	4	8
Lix1l	2	7	0	6	8	2	0	5	6
Lkaaear1	0	1	1	3	0	2	0	2	1
Llcfc1	1	7	0	0	0	1	1	0	2
Llgl1	181	197	165	206	155	150	135	187	136
Llgl2	106	39	51	67	35	52	52	52	45
Llph	245	135	130	140	115	87	64	131	96
Lman1	230	353	433	314	248	199	214	302	266
Lman1l	1	3	3	5	3	1	6	3	2
Lman2	1770	1267	1433	1302	1224	831	833	1169	1284
Lman2l	460	336	231	231	287	197	147	185	238
Lmbr1	42	18	146	50	18	16	27	30	29
Lmbr1l	213	204	53	259	219	175	171	240	215
Lmbrd1	1345	983	784	959	985	641	623	646	948
Lmbrd2	28	14	24	22	7	7	12	7	19
Lmcd1	1	1	3	7	1	0	1	6	0
Lmf1	311	249	141	182	201	126	158	161	211
Lmf2	311	134	269	157	132	149	111	138	132
Lmln	7	10	15	5	16	15	4	31	8
Lmna	19	23	5153	12	14	8	74	188	33
Lmnb1	90	98	66	90	81	58	122	115	93
Lmnb2	19	58	123	41	46	35	29	24	60
Lmntd1	10	5	4	19	9	7	15	11	8
Lmntd2	4	4	4	6	2	4	6	4	5
Lmo1	4	6	0	1	0	0	2	17	9
Lmo2	84	76	52	54	71	73	38	63	75
Lmo3	5	16	3	18	0	4	6	5	21
Lmo4	1664	440	788	477	453	384	230	267	286
Lmo7	10	16	0	35	14	4	19	21	22
Lmod1	1	0	1	2	1	1	2	2	1
Lmod2	0	0	0	5	0	2	5	0	0
Lmod3	7	3	0	1	4	4	2	5	7
Lmtk2	85	107	26	125	116	78	59	62	99
Lmtk3	1	2	0	0	0	0	0	2	1
Lmx1a	0	5	1	2	0	0	1	2	3
Lmx1b	1	8	0	8	5	1	1	0	7
Lnp1	0	1	0	3	1	0	5	1	0
Lnpep	970	1925	1405	2059	2436	1594	1632	2056	2090
Lnpk	125	121	149	160	131	146	68	127	156
Lnx1	2	9	2	8	5	2	7	13	8
Lnx2	39	41	120	30	58	38	35	34	39
Lonp1	185	118	114	193	242	157	84	190	232
Lonp2	645	535	647	487	432	308	243	243	255
Lonrf1	72	98	110	95	63	41	49	50	64
Lonrf2	4	8	3	9	6	3	5	9	11
Lonrf3	0	5	96	10	5	0	1	8	1
Lor	1	0	0	1	0	0	2	0	3
Lox	4	6	0	4	0	0	5	9	6
Loxhd1	4	15	1	6	6	6	8	11	17
Loxl1	1	6	1	1	4	1	0	0	1
Loxl2	4	7	1	3	10	2	1	10	2
Loxl3	83	89	2	88	59	73	30	37	33
Loxl4	19	10	4	19	20	16	5	10	25
Lpar1	16	20	8	3	15	0	38	18	35
