	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
Tmem33	172.0			872.0		337.0	685.0	218.0	669.0	372.0	919.0
Tmem35a	0.0			0.0		0.0	0.0	1.0	0.0	1.0	0.0
Tmem35b	12.0			85.0		34.0	47.0	9.0	34.0	58.0	142.0
Tmem37	3.0			36.0		7.0	18.0	6.0	77.0	7.0	320.0
Tmem38a	12.0			80.0		19.0	54.0	15.0	41.0	21.0	22.0
Tmem38b	164.0			867.0		366.0	617.0	218.0	628.0	488.0	370.0
Tmem39a	39.0			205.0		108.0	230.0	57.0	282.0	115.0	229.0
Tmem39b	10.0			98.0		23.0	54.0	15.0	60.0	40.0	78.0
Tmem40	4.0			0.0		3.0	5.0	1.0	85.0	3.0	8.0
Tmem41a	8.0			33.0		21.0	28.0	10.0	42.0	8.0	22.0
Tmem41b	24.0			71.0		58.0	70.0	28.0	95.0	54.0	100.0
Tmem42	3.0			20.0		8.0	11.0	7.0	34.0	10.0	23.0
Tmem43	234.0			1261.0		501.0	1123.0	357.0	835.0	399.0	444.0
Tmem44	2.0			0.0		4.0	20.0	0.0	2.0	1.0	10.0
Tmem45a	3.0			3.0		4.0	6.0	5.0	2.0	5.0	4.0
Tmem45a2	1.0			3.0		2.0	3.0	2.0	0.0	8.0	6.0
Tmem45b	1.0			5.0		2.0	3.0	5.0	3.0	8.0	4.0
Tmem47	1.0			2.0		4.0	0.0	0.0	0.0	2.0	12.0
Tmem5	50.0			213.0		108.0	198.0	58.0	254.0	135.0	244.0
Tmem50a	357.0			1795.0		849.0	1720.0	518.0	1583.0	1130.0	1520.0
Tmem50b	489.0			2889.0		1058.0	1796.0	747.0	1739.0	943.0	1300.0
Tmem51	212.0			1002.0		413.0	717.0	284.0	1081.0	913.0	810.0
Tmem52	0.0			3.0		0.0	0.0	1.0	0.0	0.0	1.0
Tmem52b	0.0			0.0		9.0	2.0	1.0	1.0	5.0	17.0
