	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
Macrod2	1.0			21.0		10.0	3.0	11.0	15.0	23.0	12.0
Mad1l1	27.0			195.0		92.0	132.0	58.0	149.0	208.0	219.0
Mad2l1	8.0			34.0		25.0	37.0	14.0	65.0	89.0	137.0
Mad2l1bp	21.0			113.0		61.0	126.0	33.0	103.0	85.0	105.0
Mad2l2	26.0			151.0		61.0	107.0	30.0	114.0	45.0	103.0
Madcam1	0.0			0.0		3.0	1.0	0.0	0.0	4.0	0.0
Madd	220.0			1046.0		528.0	917.0	310.0	520.0	875.0	946.0
Maea	146.0			840.0		334.0	655.0	189.0	713.0	569.0	753.0
Mael	0.0			7.0		1.0	4.0	0.0	2.0	1.0	3.0
Maf	77.0			265.0		112.0	438.0	122.0	232.0	46.0	491.0
Maf1	283.0			1421.0		603.0	1390.0	376.0	1448.0	809.0	1031.0
Mafa	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Mafb	62.0			666.0		160.0	331.0	92.0	991.0	121.0	1344.0
Maff	1.0			11.0		3.0	4.0	0.0	4.0	6.0	21.0
Mafg	71.0			496.0		210.0	411.0	128.0	549.0	276.0	490.0
Mafk	108.0			337.0		160.0	369.0	100.0	312.0	184.0	333.0
Mag	7.0			30.0		6.0	11.0	6.0	5.0	9.0	52.0
Magea1	0.0			0.0		0.0	2.0	0.0	0.0	0.0	0.0
Magea10	0.0			1.0		1.0	3.0	1.0	1.0	2.0	0.0
Magea2	0.0			0.0		1.0	0.0	1.0	0.0	0.0	0.0
Magea3	0.0			0.0		0.0	0.0	0.0	0.0	1.0	1.0
Magea4	0.0			0.0		1.0	0.0	0.0	0.0	0.0	2.0
Magea5	0.0			0.0		0.0	4.0	1.0	1.0	0.0	4.0
Magea6	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Magea8	0.0			0.0		0.0	0.0	0.0	1.0	2.0	0.0
Mageb1	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Mageb16	1.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Mageb18	0.0			1.0		0.0	0.0	0.0	0.0	19.0	3.0
Mageb2	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Mageb3	0.0			1.0		2.0	0.0	1.0	0.0	1.0	3.0
Mageb4	1.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Mageb5	0.0			0.0		0.0	0.0	0.0	0.0	2.0	0.0
Maged1	0.0			2.0		0.0	9.0	0.0	3.0	2.0	196.0
Maged2	3.0			4.0		4.0	0.0	0.0	38.0	2.0	41.0
Magee1	10.0			70.0		18.0	45.0	8.0	14.0	28.0	33.0
Magee2	0.0			0.0		0.0	0.0	0.0	1.0	0.0	0.0
Mageh1	0.0			0.0		2.0	0.0	0.0	2.0	0.0	0.0
Magel2	2.0			2.0		4.0	0.0	0.0	0.0	0.0	3.0
Magi1	4.0			55.0		41.0	61.0	24.0	22.0	58.0	54.0
Magi2	3.0			14.0		14.0	5.0	4.0	5.0	24.0	6.0
Magi3	5.0			29.0		11.0	4.0	1.0	30.0	25.0	21.0
Magix	0.0			3.0		0.0	1.0	0.0	0.0	0.0	0.0
Magoh	44.0			173.0		87.0	168.0	57.0	186.0	125.0	197.0
Magohb	14.0			155.0		68.0	124.0	34.0	167.0	30.0	79.0
Magt1	260.0			1469.0		702.0	1080.0	473.0	833.0	1034.0	1343.0
Maip1	25.0			136.0		50.0	100.0	30.0	126.0	75.0	108.0
Majin	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Mak	2.0			28.0		6.0	6.0	5.0	20.0	7.0	19.0
Mak16	24.0			136.0		45.0	68.0	26.0	102.0	58.0	82.0
Mal	0.0			0.0		1.0	0.0	0.0	2.0	0.0	4.0
Mal2	0.0			2.0		0.0	0.0	3.0	6.0	0.0	13.0
Mall	0.0			1.0		0.0	0.0	2.0	0.0	0.0	3.0
Malrd1	1.0			11.0		10.0	7.0	2.0	8.0	17.0	12.0
Malsu1	24.0			131.0		78.0	112.0	28.0	131.0	81.0	69.0
Malt1	160.0			1152.0		611.0	869.0	278.0	724.0	535.0	745.0
Mamdc2	1.0			7.0		6.0	12.0	2.0	4.0	8.0	27.0
Mamdc4	4.0			23.0		11.0	16.0	2.0	25.0	14.0	10.0
Maml1	21.0			157.0		70.0	162.0	50.0	140.0	79.0	131.0
Maml2	18.0			79.0		25.0	112.0	35.0	83.0	272.0	411.0
Maml3	40.0			253.0		73.0	215.0	54.0	197.0	189.0	180.0
Mamld1	0.0			2.0		3.0	8.0	3.0	0.0	4.0	13.0
Mamstr	0.0			4.0		4.0	2.0	0.0	0.0	3.0	5.0
Man1a	30.0			281.0		122.0	353.0	97.0	165.0	283.0	418.0
Man1a2	82.0			366.0		153.0	326.0	107.0	268.0	212.0	297.0
Man1b1	32.0			218.0		72.0	106.0	40.0	110.0	141.0	185.0
Man1c1	29.0			164.0		67.0	128.0	50.0	94.0	81.0	189.0
Man2a1	53.0			354.0		167.0	322.0	112.0	739.0	241.0	473.0
Man2a2	82.0			434.0		184.0	360.0	130.0	287.0	71.0	251.0
Man2b1	1036.0			6277.0		2479.0	5107.0	1331.0	5290.0	3434.0	5740.0
Man2b2	132.0			808.0		366.0	791.0	200.0	678.0	359.0	846.0
Man2c1	78.0			344.0		175.0	292.0	78.0	365.0	201.0	420.0
Manba	106.0			529.0		258.0	551.0	147.0	388.0	275.0	648.0
Manbal	28.0			185.0		57.0	121.0	37.0	223.0	70.0	127.0
Manea	40.0			183.0		61.0	191.0	47.0	151.0	64.0	249.0
Maneal	4.0			4.0		4.0	3.0	0.0	0.0	0.0	0.0
Manf	29.0			180.0		100.0	184.0	54.0	324.0	66.0	390.0
Mansc1	5.0			40.0		10.0	22.0	10.0	13.0	10.0	25.0
Mansc4	0.0			1.0		8.0	3.0	0.0	5.0	1.0	1.0
Maoa	5.0			18.0		7.0	17.0	1.0	23.0	6.0	64.0
Maob	2.0			12.0		7.0	9.0	1.0	4.0	1.0	3.0
Map10	15.0			62.0		24.0	28.0	12.0	72.0	32.0	23.0
Map1a	0.0			3.0		2.0	4.0	2.0	0.0	1.0	0.0
Map1b	2.0			23.0		10.0	13.0	2.0	13.0	8.0	57.0
Map1lc3a	19.0			99.0		33.0	82.0	13.0	96.0	38.0	45.0
Map1lc3b	260.0			1569.0		691.0	1337.0	336.0	1185.0	797.0	1038.0
Map1s	66.0			360.0		104.0	254.0	92.0	208.0	183.0	290.0
Map2	1.0			9.0		13.0	4.0	1.0	22.0	3.0	9.0
Map2k1	472.0			2087.0		1082.0	1697.0	649.0	1485.0	1865.0	1739.0
Map2k2	152.0			920.0		461.0	807.0	247.0	814.0	399.0	636.0
Map2k3	122.0			787.0		278.0	686.0	222.0	776.0	393.0	763.0
Map2k4	47.0			370.0		144.0	332.0	80.0	267.0	87.0	170.0
Map2k5	42.0			333.0		140.0	327.0	52.0	228.0	118.0	144.0
Map2k6	4.0			57.0		47.0	44.0	11.0	39.0	26.0	62.0
Map2k7	36.0			155.0		55.0	117.0	34.0	165.0	82.0	117.0
Map3k1	633.0			3153.0		1127.0	2728.0	935.0	2429.0	1921.0	1954.0
Map3k10	0.0			17.0		1.0	3.0	1.0	11.0	5.0	16.0
Map3k11	230.0			998.0		552.0	923.0	251.0	774.0	675.0	677.0
Map3k12	34.0			116.0		38.0	62.0	41.0	115.0	62.0	74.0
Map3k13	1.0			4.0		12.0	8.0	2.0	4.0	14.0	4.0
Map3k14	66.0			290.0		135.0	297.0	78.0	240.0	597.0	388.0
Map3k15	19.0			78.0		32.0	105.0	38.0	119.0	82.0	75.0
Map3k19	3.0			11.0		9.0	0.0	4.0	6.0	12.0	6.0
Map3k2	54.0			239.0		116.0	229.0	107.0	213.0	154.0	198.0
Map3k20	61.0			360.0		131.0	224.0	90.0	377.0	166.0	161.0
Map3k21	4.0			3.0		5.0	0.0	0.0	0.0	5.0	0.0
Map3k3	116.0			494.0		237.0	458.0	171.0	541.0	508.0	474.0
Map3k4	23.0			203.0		69.0	123.0	46.0	124.0	78.0	205.0
Map3k5	71.0			404.0		207.0	326.0	116.0	288.0	431.0	390.0
Map3k6	1.0			62.0		18.0	42.0	4.0	49.0	9.0	10.0
Map3k7	46.0			285.0		115.0	148.0	54.0	168.0	119.0	127.0
Map3k7cl	1.0			0.0		1.0	0.0	0.0	0.0	1.0	3.0
Map3k8	175.0			607.0		229.0	508.0	225.0	634.0	820.0	953.0
Map3k9	5.0			41.0		24.0	50.0	11.0	34.0	18.0	24.0
Map4	245.0			1117.0		486.0	915.0	309.0	734.0	882.0	1423.0
Map4k1	94.0			453.0		176.0	470.0	101.0	375.0	315.0	350.0
Map4k2	24.0			126.0		55.0	104.0	25.0	69.0	118.0	95.0
Map4k3	15.0			77.0		31.0	53.0	34.0	69.0	124.0	157.0
Map4k4	86.0			439.0		204.0	340.0	149.0	436.0	392.0	340.0
Map4k5	19.0			121.0		63.0	108.0	35.0	81.0	74.0	67.0
Map6	3.0			2.0		7.0	4.0	3.0	6.0	11.0	3.0
Map6d1	3.0			3.0		0.0	1.0	1.0	9.0	11.0	2.0
Map7	3.0			17.0		11.0	17.0	8.0	11.0	6.0	7.0
Map7d1	99.0			783.0		254.0	599.0	126.0	370.0	260.0	324.0
Map7d2	0.0			4.0		7.0	0.0	0.0	1.0	1.0	3.0
Map7d3	7.0			36.0		22.0	16.0	5.0	29.0	25.0	19.0
Map9	2.0			4.0		4.0	0.0	3.0	3.0	12.0	12.0
Mapk1	123.0			1800.0		710.0	1288.0	193.0	601.0	405.0	462.0
Mapk10	3.0			13.0		12.0	14.0	3.0	15.0	11.0	15.0
Mapk11	1.0			24.0		3.0	1.0	2.0	0.0	12.0	4.0
Mapk12	5.0			5.0		0.0	1.0	0.0	0.0	6.0	0.0
Mapk13	5.0			38.0		4.0	15.0	3.0	65.0	17.0	22.0
Mapk14	178.0			1263.0		422.0	951.0	271.0	639.0	756.0	757.0
Mapk15	0.0			1.0		2.0	0.0	1.0	0.0	0.0	0.0
Mapk1ip1	16.0			80.0		28.0	88.0	24.0	94.0	49.0	97.0
Mapk1ip1l	83.0			393.0		151.0	329.0	101.0	382.0	243.0	334.0
Mapk3	43.0			371.0		107.0	231.0	101.0	171.0	163.0	184.0
Mapk4	2.0			3.0		2.0	6.0	1.0	3.0	2.0	5.0
Mapk6	78.0			415.0		209.0	311.0	112.0	464.0	127.0	345.0
Mapk7	71.0			389.0		175.0	322.0	62.0	366.0	176.0	180.0
Mapk8	61.0			236.0		136.0	254.0	70.0	280.0	188.0	251.0
Mapk8ip1	2.0			6.0		0.0	7.0	2.0	8.0	6.0	8.0
Mapk8ip2	0.0			1.0		6.0	0.0	0.0	0.0	1.0	0.0
Mapk8ip3	93.0			605.0		198.0	379.0	132.0	529.0	460.0	589.0
Mapk9	46.0			442.0		143.0	325.0	80.0	238.0	135.0	236.0
Mapkap1	24.0			374.0		113.0	271.0	59.0	171.0	343.0	303.0
Mapkapk2	144.0			726.0		357.0	607.0	232.0	509.0	300.0	408.0
Mapkapk3	237.0			1306.0		587.0	1048.0	294.0	863.0	607.0	1122.0
Mapkapk5	3.0			10.0		8.0	19.0	1.0	16.0	16.0	7.0
Mapkbp1	11.0			100.0		31.0	86.0	25.0	78.0	53.0	69.0
Mapre1	257.0			1362.0		593.0	886.0	371.0	1277.0	994.0	1436.0
Mapre2	181.0			860.0		367.0	905.0	194.0	598.0	692.0	876.0
Mapre3	6.0			43.0		12.0	31.0	4.0	27.0	8.0	32.0
Mapt	13.0			15.0		12.0	20.0	10.0	34.0	18.0	13.0
Marc1	0.0			2.0		0.0	0.0	0.0	5.0	4.0	2.0
Marc2	112.0			596.0		268.0	511.0	169.0	579.0	291.0	407.0
March1	356.0			2254.0		932.0	1657.0	519.0	2083.0	974.0	1151.0
March10	1.0			3.0		0.0	2.0	1.0	0.0	3.0	0.0
March11	0.0			2.0		0.0	2.0	1.0	4.0	1.0	2.0
March2	15.0			237.0		90.0	156.0	47.0	247.0	111.0	97.0
March3	3.0			3.0		11.0	1.0	2.0	4.0	8.0	43.0
March4	0.0			3.0		1.0	0.0	2.0	2.0	4.0	4.0
March5	3.0			38.0		9.0	32.0	8.0	31.0	10.0	9.0
March6	141.0			726.0		246.0	483.0	228.0	573.0	489.0	600.0
March7	258.0			1003.0		442.0	735.0	368.0	901.0	629.0	708.0
March8	7.0			131.0		83.0	69.0	30.0	67.0	58.0	107.0
March9	0.0			0.0		3.0	0.0	1.0	0.0	0.0	0.0
Marcks	180.0			700.0		283.0	831.0	326.0	518.0	653.0	868.0
Marcksl1	12.0			101.0		36.0	67.0	17.0	41.0	7.0	21.0
Marco	0.0			1.0		0.0	0.0	1.0	6.0	0.0	304.0
Marf1	84.0			391.0		167.0	434.0	119.0	315.0	340.0	412.0
Mark1	0.0			4.0		6.0	5.0	5.0	0.0	7.0	3.0
Mark2	87.0			360.0		143.0	356.0	90.0	324.0	307.0	400.0
Mark3	65.0			357.0		137.0	300.0	108.0	299.0	220.0	285.0
Mark4	16.0			65.0		29.0	100.0	18.0	88.0	46.0	43.0
Mars	52.0			446.0		163.0	284.0	76.0	233.0	198.0	367.0
Mars2	36.0			158.0		73.0	164.0	69.0	112.0	112.0	130.0
Marveld1	9.0			36.0		16.0	6.0	1.0	12.0	16.0	36.0
Marveld2	2.0			4.0		2.0	0.0	0.0	9.0	3.0	33.0
Marveld3	0.0			3.0		3.0	2.0	0.0	7.0	0.0	9.0
Mas1	1.0			1.0		2.0	1.0	6.0	0.0	2.0	1.0
Masp1	0.0			5.0		6.0	2.0	1.0	3.0	8.0	4.0
Masp2	0.0			2.0		2.0	0.0	1.0	4.0	4.0	0.0
Mast1	0.0			12.0		7.0	21.0	0.0	6.0	2.0	17.0
Mast2	14.0			71.0		21.0	10.0	12.0	68.0	34.0	137.0
Mast3	24.0			127.0		47.0	123.0	21.0	79.0	45.0	82.0
Mast4	20.0			211.0		105.0	120.0	45.0	116.0	152.0	117.0
Mastl	21.0			42.0		22.0	32.0	28.0	55.0	43.0	50.0
Mat1a	1.0			1.0		4.0	0.0	1.0	1.0	5.0	2.0
Mat2a	37.0			229.0		84.0	152.0	63.0	194.0	125.0	173.0
Mat2b	211.0			1115.0		453.0	858.0	291.0	934.0	608.0	752.0
Matk	43.0			229.0		107.0	293.0	64.0	483.0	231.0	307.0
Matn1	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Matn2	7.0			24.0		24.0	16.0	15.0	19.0	27.0	68.0
Matn3	0.0			3.0		3.0	0.0	0.0	2.0	0.0	5.0
Matn4	0.0			2.0		0.0	0.0	1.0	1.0	0.0	7.0
Matr3	199.0			934.0		411.0	781.0	288.0	897.0	789.0	982.0
Mau2	282.0			1360.0		626.0	1163.0	354.0	1325.0	1084.0	1353.0
Mavs	54.0			404.0		113.0	351.0	70.0	260.0	254.0	384.0
Max	52.0			269.0		98.0	269.0	77.0	327.0	178.0	282.0
Maz	10.0			90.0		33.0	110.0	21.0	64.0	65.0	77.0
Mb	0.0			1.0		1.0	0.0	0.0	1.0	0.0	2.0
Mb21d1	37.0			182.0		84.0	178.0	33.0	139.0	64.0	68.0
Mb21d2	0.0			0.0		0.0	0.0	0.0	2.0	0.0	5.0
Mbd1	34.0			298.0		120.0	260.0	107.0	255.0	267.0	323.0
Mbd2	38.0			220.0		99.0	166.0	72.0	224.0	157.0	188.0
Mbd3	10.0			64.0		29.0	61.0	11.0	72.0	26.0	85.0
Mbd3l1	1.0			0.0		0.0	0.0	0.0	0.0	2.0	3.0
Mbd3l2	2.0			4.0		1.0	1.0	0.0	12.0	16.0	7.0
Mbd4	25.0			72.0		36.0	122.0	32.0	89.0	78.0	108.0
Mbd5	43.0			249.0		100.0	179.0	64.0	186.0	193.0	251.0
Mbd6	16.0			121.0		26.0	100.0	16.0	91.0	67.0	72.0
Mbip	19.0			140.0		49.0	88.0	51.0	129.0	57.0	112.0
Mbl1	1.0			0.0		4.0	0.0	0.0	1.0	0.0	0.0
Mbl2	1.0			0.0		2.0	3.0	1.0	0.0	1.0	0.0
Mblac1	2.0			29.0		10.0	15.0	4.0	18.0	4.0	16.0
Mblac2	17.0			138.0		27.0	125.0	23.0	51.0	79.0	46.0
Mbnl1	2075.0			8411.0		4248.0	7475.0	2732.0	7522.0	4522.0	4897.0
Mbnl2	322.0			1464.0		561.0	1312.0	475.0	1022.0	877.0	1686.0
Mbnl3	22.0			227.0		42.0	116.0	37.0	150.0	124.0	179.0
Mboat1	35.0			159.0		36.0	113.0	40.0	96.0	82.0	62.0
Mboat2	0.0			12.0		12.0	7.0	0.0	1.0	7.0	15.0
Mboat4	0.0			3.0		0.0	0.0	0.0	0.0	1.0	1.0
Mboat7	132.0			920.0		329.0	669.0	186.0	941.0	185.0	345.0
Mbp	602.0			1816.0		680.0	2058.0	654.0	838.0	2022.0	1315.0
Mbtd1	93.0			338.0		201.0	375.0	134.0	248.0	218.0	267.0
Mbtps1	101.0			559.0		191.0	454.0	129.0	404.0	229.0	416.0
Mbtps2	36.0			177.0		97.0	159.0	79.0	169.0	95.0	224.0
Mc1r	0.0			5.0		1.0	2.0	0.0	1.0	0.0	1.0
Mc2r	0.0			0.0		1.0	0.0	0.0	0.0	1.0	9.0
Mc3r	0.0			0.0		0.0	2.0	0.0	0.0	0.0	1.0
Mc4r	0.0			1.0		0.0	0.0	0.0	3.0	1.0	4.0
Mc5r	1.0			2.0		2.0	1.0	0.0	0.0	4.0	0.0
Mcam	9.0			29.0		11.0	2.0	6.0	18.0	10.0	3.0
Mcat	4.0			44.0		15.0	29.0	6.0	29.0	27.0	18.0
Mcc	7.0			29.0		17.0	40.0	2.0	20.0	39.0	17.0
Mccc1	11.0			129.0		61.0	95.0	39.0	76.0	54.0	149.0
Mccc2	22.0			71.0		43.0	52.0	13.0	63.0	121.0	111.0
Mcee	13.0			144.0		46.0	110.0	18.0	58.0	13.0	61.0
Mcemp1	323.0			2954.0		964.0	1352.0	462.0	2075.0	500.0	808.0
Mcf2	0.0			3.0		9.0	7.0	1.0	1.0	8.0	3.0
Mcf2l	13.0			118.0		48.0	40.0	20.0	37.0	21.0	40.0
Mcfd2	94.0			486.0		193.0	427.0	173.0	469.0	237.0	739.0
Mchr1	0.0			2.0		1.0	3.0	0.0	0.0	4.0	1.0
Mcidas	0.0			6.0		3.0	2.0	0.0	0.0	4.0	3.0
Mcl1	570.0			3195.0		1263.0	3424.0	917.0	2320.0	2164.0	2483.0
Mcm10	7.0			7.0		16.0	13.0	15.0	9.0	6.0	25.0
Mcm2	26.0			82.0		25.0	13.0	18.0	51.0	47.0	237.0
Mcm3	34.0			169.0		86.0	134.0	64.0	162.0	164.0	477.0
Mcm3ap	66.0			354.0		146.0	256.0	91.0	334.0	261.0	314.0
Mcm4	30.0			187.0		81.0	163.0	70.0	199.0	215.0	409.0
Mcm5	23.0			132.0		49.0	69.0	27.0	77.0	178.0	344.0
Mcm6	25.0			117.0		90.0	81.0	48.0	76.0	180.0	472.0
Mcm7	26.0			127.0		42.0	86.0	28.0	60.0	148.0	224.0
Mcm8	3.0			13.0		2.0	2.0	2.0	22.0	12.0	39.0
Mcm9	15.0			165.0		49.0	76.0	40.0	76.0	74.0	59.0
Mcmbp	176.0			905.0		356.0	1098.0	391.0	721.0	724.0	551.0
Mcmdc2	27.0			82.0		21.0	76.0	33.0	46.0	32.0	21.0
Mcoln1	70.0			414.0		135.0	387.0	107.0	298.0	249.0	455.0
Mcoln2	3.0			10.0		3.0	7.0	1.0	9.0	9.0	76.0
Mcoln3	0.0			0.0		1.0	3.0	0.0	1.0	0.0	119.0
Mcph1	21.0			99.0		61.0	79.0	23.0	74.0	67.0	133.0
Mcpt1	0.0			3.0		0.0	0.0	0.0	3.0	0.0	0.0
Mcpt2	1.0			2.0		0.0	2.0	0.0	2.0	0.0	1.0
Mcpt4	1.0			0.0		2.0	1.0	0.0	4.0	0.0	0.0
Mcpt8	1.0			1.0		0.0	2.0	0.0	0.0	1.0	3.0
Mcpt9	0.0			0.0		0.0	0.0	0.0	0.0	0.0	7.0
Mcrip1	119.0			717.0		317.0	586.0	130.0	658.0	185.0	289.0
Mcrip2	0.0			5.0		9.0	5.0	3.0	14.0	14.0	25.0
Mcrs1	28.0			205.0		90.0	179.0	29.0	174.0	68.0	120.0
Mctp1	117.0			683.0		363.0	599.0	275.0	542.0	527.0	421.0
Mctp2	16.0			91.0		43.0	32.0	11.0	163.0	64.0	61.0
Mcts1	108.0			508.0		221.0	509.0	154.0	501.0	213.0	400.0
Mcts2	4.0			14.0		0.0	15.0	6.0	10.0	26.0	32.0
Mcu	26.0			124.0		45.0	142.0	27.0	106.0	66.0	89.0
Mcub	215.0			1318.0		537.0	938.0	294.0	850.0	170.0	520.0
Mcur1	84.0			727.0		322.0	642.0	91.0	326.0	275.0	268.0
Mdc1	66.0			262.0		131.0	196.0	80.0	304.0	391.0	301.0
Mdfi	0.0			1.0		0.0	0.0	0.0	0.0	5.0	0.0
Mdfic	33.0			210.0		80.0	158.0	57.0	114.0	93.0	294.0
Mdga1	8.0			41.0		8.0	42.0	6.0	20.0	7.0	9.0
Mdga2	5.0			27.0		15.0	25.0	14.0	10.0	16.0	13.0
Mdh1	107.0			862.0		294.0	636.0	207.0	559.0	523.0	937.0
Mdh1b	1.0			8.0		6.0	0.0	2.0	0.0	0.0	6.0
Mdh2	140.0			997.0		427.0	974.0	212.0	845.0	633.0	1036.0
Mdk	0.0			3.0		3.0	1.0	3.0	3.0	2.0	2.0
Mdm1	34.0			126.0		46.0	266.0	67.0	164.0	796.0	540.0
Mdm2	160.0			672.0		355.0	773.0	249.0	778.0	550.0	742.0
Mdm4	224.0			1114.0		476.0	862.0	362.0	1108.0	1002.0	868.0
Mdn1	53.0			215.0		108.0	127.0	77.0	255.0	198.0	353.0
Mdp1	80.0			479.0		196.0	363.0	94.0	299.0	244.0	263.0
Me1	2.0			7.0		5.0	1.0	0.0	4.0	7.0	12.0
Me2	192.0			1087.0		459.0	1023.0	292.0	834.0	540.0	448.0
Me3	0.0			9.0		7.0	20.0	5.0	8.0	15.0	10.0
Mea1	41.0			184.0		81.0	129.0	34.0	117.0	97.0	157.0
Meaf6	38.0			260.0		100.0	230.0	42.0	145.0	150.0	228.0
Mecom	6.0			18.0		7.0	13.0	5.0	6.0	13.0	3.0
Mecp2	54.0			286.0		149.0	266.0	120.0	329.0	290.0	274.0
Mecr	9.0			70.0		25.0	66.0	12.0	94.0	62.0	100.0
Med1	163.0			817.0		273.0	751.0	272.0	685.0	570.0	619.0
Med10	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Med11	36.0			185.0		70.0	176.0	62.0	151.0	148.0	236.0
Med12	111.0			614.0		220.0	425.0	134.0	407.0	396.0	544.0
Med12l	16.0			47.0		30.0	44.0	21.0	46.0	24.0	55.0
Med13	85.0			424.0		177.0	403.0	143.0	407.0	267.0	521.0
Med13l	78.0			390.0		199.0	332.0	99.0	364.0	271.0	375.0
Med14	91.0			619.0		256.0	432.0	93.0	271.0	209.0	262.0
Med15	115.0			574.0		229.0	592.0	167.0	683.0	399.0	532.0
Med16	10.0			175.0		63.0	162.0	33.0	164.0	93.0	85.0
Med17	99.0			455.0		181.0	481.0	164.0	412.0	275.0	358.0
Med18	7.0			69.0		27.0	39.0	25.0	65.0	37.0	28.0
Med19	3.0			66.0		21.0	52.0	16.0	71.0	33.0	67.0
Med20	65.0			322.0		99.0	216.0	67.0	174.0	217.0	221.0
Med21	65.0			352.0		131.0	265.0	94.0	273.0	215.0	341.0
Med22	55.0			286.0		158.0	226.0	87.0	258.0	132.0	201.0
Med23	59.0			213.0		120.0	261.0	91.0	236.0	144.0	309.0
Med24	62.0			381.0		127.0	255.0	72.0	317.0	220.0	256.0
Med25	56.0			385.0		133.0	376.0	86.0	265.0	91.0	236.0
Med26	17.0			86.0		25.0	81.0	18.0	103.0	36.0	55.0
Med27	23.0			131.0		61.0	102.0	32.0	120.0	129.0	120.0
Med28	111.0			710.0		276.0	467.0	191.0	395.0	441.0	567.0
Med29	12.0			46.0		9.0	61.0	13.0	39.0	24.0	44.0
Med30	47.0			290.0		94.0	200.0	74.0	218.0	117.0	175.0
Med31	12.0			84.0		24.0	112.0	19.0	81.0	33.0	38.0
Med4	28.0			211.0		92.0	138.0	47.0	252.0	171.0	147.0
Med6	45.0			215.0		97.0	167.0	58.0	155.0	117.0	132.0
Med7	16.0			94.0		43.0	74.0	34.0	123.0	55.0	97.0
Med8	80.0			453.0		189.0	347.0	126.0	492.0	273.0	335.0
Med9	20.0			100.0		47.0	69.0	38.0	146.0	43.0	105.0
Medag	0.0			2.0		0.0	3.0	1.0	1.0	2.0	2.0
Mef2a	488.0			2734.0		1043.0	2257.0	783.0	2853.0	1909.0	2095.0
Mef2b	0.0			0.0		0.0	1.0	0.0	1.0	2.0	2.0
Mef2c	277.0			1039.0		539.0	999.0	444.0	494.0	1756.0	1265.0
Mef2d	91.0			520.0		196.0	459.0	123.0	304.0	614.0	616.0
Mefv	247.0			1353.0		441.0	1063.0	262.0	964.0	110.0	242.0
Megf10	3.0			4.0		14.0	22.0	5.0	9.0	29.0	19.0
Megf11	20.0			35.0		42.0	55.0	11.0	37.0	64.0	39.0
Megf6	3.0			7.0		2.0	2.0	3.0	2.0	4.0	11.0
Megf8	9.0			66.0		28.0	42.0	14.0	26.0	54.0	117.0
Megf9	99.0			728.0		440.0	545.0	281.0	374.0	583.0	285.0
Mei1	3.0			5.0		5.0	2.0	3.0	2.0	9.0	13.0
Mei4	1.0			6.0		6.0	6.0	2.0	1.0	7.0	2.0
Meig1	0.0			3.0		0.0	1.0	1.0	0.0	0.0	2.0
Meikin	0.0			0.0		6.0	1.0	2.0	3.0	5.0	1.0
Meiob	0.0			0.0		2.0	0.0	2.0	0.0	5.0	3.0
Meioc	0.0			1.0		0.0	3.0	4.0	6.0	3.0	0.0
Meis1	20.0			85.0		44.0	73.0	25.0	31.0	35.0	35.0
Meis2	1.0			8.0		14.0	7.0	0.0	11.0	8.0	4.0
Meis3	1.0			8.0		5.0	7.0	1.0	12.0	11.0	84.0
Melk	5.0			13.0		5.0	1.0	3.0	4.0	36.0	93.0
Meltf	0.0			3.0		3.0	1.0	0.0	0.0	4.0	5.0
Memo1	19.0			187.0		64.0	144.0	50.0	147.0	106.0	204.0
Men1	7.0			32.0		12.0	20.0	6.0	16.0	11.0	16.0
Meox1	3.0			6.0		0.0	1.0	2.0	3.0	0.0	3.0
Meox2	1.0			0.0		3.0	0.0	3.0	1.0	0.0	0.0
Mep1a	1.0			1.0		3.0	2.0	1.0	3.0	0.0	10.0
Mep1b	1.0			5.0		0.0	1.0	2.0	2.0	1.0	11.0
Mepce	11.0			29.0		13.0	44.0	9.0	33.0	46.0	65.0
Mepe	3.0			0.0		0.0	0.0	0.0	1.0	0.0	0.0
Mertk	4.0			27.0		4.0	12.0	4.0	224.0	17.0	1041.0
Mesd	47.0			307.0		112.0	195.0	89.0	205.0	201.0	294.0
Mesp1	0.0			0.0		0.0	0.0	2.0	0.0	0.0	0.0
Mesp2	0.0			0.0		2.0	1.0	0.0	0.0	4.0	0.0
Mest	6.0			9.0		7.0	6.0	12.0	17.0	5.0	10.0
Met	50.0			306.0		234.0	337.0	85.0	177.0	40.0	40.0
