	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
BB287469	2	0	1	0	0	0	0	1
BC003331	275	342	184	214	239	302	271	320
BC003965	121	124	97	92	95	158	138	149
BC004004	445	431	288	278	272	514	505	489
BC005537	1279	1488	853	836	1307	1168	1026	1203
BC005561	28	77	25	20	51	62	58	56
BC005624	268	324	149	177	242	307	239	256
BC016579	0	2	2	4	6	0	0	4
BC017158	50	82	32	41	71	41	52	41
BC017643	1160	1234	978	951	1393	1379	1099	1350
BC022687	6	2	0	0	15	7	8	4
BC024063	10	1	7	0	1	5	4	18
BC024139	2	1	0	0	2	0	0	5
BC024978	75	53	20	35	40	26	56	70
BC025446	6	1	0	0	0	0	2	0
BC025920	0	1	2	1	1	2	3	3
BC027072	2	0	1	0	2	0	4	0
BC028528	559	788	462	557	709	850	430	506
BC029722	42	56	28	35	55	61	67	49
BC030336	31	45	33	17	52	51	37	39
BC030499	12	5	2	3	10	5	4	4
BC030500	0	0	0	0	0	0	0	0
BC030867	0	0	1	0	1	0	2	0
BC030870	2	0	1	1	0	0	0	4
BC031181	307	313	160	208	242	400	288	303
BC034090	0	7	3	3	2	0	0	1
BC035044	422	674	521	454	499	377	250	216
BC035947	1	5	1	0	3	1	1	1
BC037034	42	79	44	20	48	34	56	33
BC048403	29	44	19	20	19	13	40	45
BC048502	1	0	0	0	1	0	0	1
BC048507	5	0	0	5	2	2	2	0
BC048562	3	0	0	0	1	0	0	3
BC048671	3	0	0	0	0	1	2	0
BC048679	0	3	0	0	0	0	0	0
BC049352	47	57	34	37	22	52	18	46
BC049715	13	12	6	6	11	12	12	12
BC049730	2	0	3	0	1	3	1	1
BC049762	2	0	2	2	0	2	1	1
BC051019	2	1	3	2	0	0	1	2
BC051142	7	4	3	4	9	2	3	4
BC051665	3	2	0	1	4	4	0	9
BC052040	27	48	5	14	21	26	50	14
BC053393	5	2	0	3	4	2	0	0
BC055324	9	22	5	2	8	3	11	11
BC061212	0	0	0	0	0	0	0	0
BC061237	0	0	0	0	0	0	0	1
BC067074	4	0	6	5	10	5	1	3
BC080695	0	0	0	0	1	0	0	0
BC100530	1	0	0	0	0	0	2	1
BC106179	4	0	1	0	0	2	2	0
BC107364	0	0	0	0	0	0	3	2
BC117090	2	0	0	1	0	0	0	0
BC147527	409	523	354	314	414	307	164	180
Baalc	0	0	0	0	0	0	0	0
Baat	3	1	1	0	1	0	0	2
Babam1	310	263	215	246	253	275	344	342
Babam2	481	507	290	329	409	489	458	408
Bace1	116	96	59	58	106	56	88	95
Bace2	9	5	4	6	1	6	1	1
Bach1	681	814	468	575	781	633	716	837
Bach2	17	39	11	12	28	10	23	30
Bad	140	112	67	85	97	168	191	197
Bag1	145	144	77	58	134	152	159	123
Bag2	0	0	5	7	2	8	10	5
Bag3	205	207	143	105	221	201	131	194
Bag4	59	94	51	27	79	21	55	30
Bag5	203	276	211	239	268	304	237	331
Bag6	184	236	128	116	155	266	152	167
Bahcc1	17	14	8	8	12	7	15	6
Bahd1	40	54	30	39	45	37	52	47
Baiap2	55	44	64	55	61	126	194	125
Baiap2l1	39	42	21	25	24	37	35	39
Baiap2l2	1	1	0	0	1	0	0	1
Baiap3	1	10	0	0	6	0	4	7
Bak1	41	51	25	24	25	34	33	37
Bambi	24	55	27	26	39	119	28	44
Banf1	329	324	215	215	280	454	323	401
Banf2	0	3	0	0	0	0	1	1
Bank1	91	141	78	89	52	75	67	136
Banp	103	170	75	70	140	174	144	151
Bap1	428	383	289	329	464	346	417	523
Bard1	8	13	2	6	12	1	11	21
Barhl1	3	2	0	0	0	1	0	0
Barhl2	0	0	0	0	2	0	0	0
Barx1	1	0	0	0	0	0	0	2
Barx2	0	0	0	0	0	0	1	0
Basp1	1	2	1	1	5	17	18	12
Batf	207	144	113	101	166	272	171	275
Batf2	27	27	29	28	33	20	16	16
Batf3	168	160	129	107	151	162	71	118
Bax	196	328	159	157	242	311	259	261
Baz1a	344	359	218	257	354	505	303	415
Baz1b	389	415	346	264	355	369	398	465
Baz2a	548	741	353	336	578	532	467	531
Baz2b	546	747	334	402	512	731	597	662
Bbc3	45	46	37	26	42	35	26	18
Bbip1	194	257	141	165	310	282	271	308
Bbof1	0	3	1	0	0	0	2	0
Bbox1	0	1	2	2	4	2	5	3
Bbs1	15	6	1	0	12	0	1	3
Bbs10	41	35	9	7	15	4	17	19
Bbs12	10	19	9	18	30	1	27	13
Bbs2	39	27	30	39	42	45	48	50
Bbs4	64	60	18	26	33	28	61	62
Bbs5	11	16	11	7	16	17	19	18
Bbs7	25	23	27	10	10	6	18	34
Bbs9	69	114	58	35	64	44	69	62
Bbx	338	441	209	306	358	333	255	344
Bcam	9	26	9	4	12	15	38	0
Bcan	9	0	0	0	0	0	2	0
Bcap29	272	364	231	331	278	343	411	383
Bcap31	759	807	498	568	683	879	611	756
Bcar1	0	6	0	3	1	7	4	0
Bcar3	3	5	1	3	4	13	53	48
Bcas1	9	1	4	3	12	1	8	3
Bcas2	321	414	258	252	417	402	386	418
Bcas3	212	396	190	170	218	187	271	287
Bcat1	9	3	4	0	15	0	6	2
Bcat2	126	259	90	115	197	197	201	167
Bccip	251	286	170	154	172	300	241	329
Bcdin3d	53	34	26	18	45	20	29	35
Bche	1	6	2	1	5	0	2	3
Bckdha	75	68	42	29	40	65	40	48
Bckdhb	17	21	17	6	14	28	19	15
Bckdk	264	341	147	186	265	288	290	328
Bcl10	698	932	651	733	894	1185	800	968
Bcl11a	266	388	101	145	204	152	109	100
Bcl2	34	127	116	68	85	68	39	41
Bcl2a1a	9	21	12	22	52	66	59	62
Bcl2a1b	1	4	4	2	6	12	17	16
Bcl2a1c	0	0	0	1	1	3	2	3
Bcl2a1d	8	24	17	16	34	63	44	54
Bcl2l1	111	126	89	63	133	180	391	286
Bcl2l10	0	2	0	1	1	0	0	0
Bcl2l11	450	352	227	264	401	377	535	685
Bcl2l12	29	28	12	16	15	23	21	14
Bcl2l13	342	430	247	272	294	268	298	323
Bcl2l14	25	10	5	7	17	4	6	5
Bcl2l15	0	7	1	0	1	0	3	1
Bcl2l2	25	24	25	15	23	25	33	25
Bcl3	145	77	88	53	69	210	108	139
Bcl6	616	1010	356	475	544	395	197	329
Bcl6b	0	0	3	0	5	4	0	2
Bcl7a	13	13	5	5	9	5	9	10
Bcl7b	251	371	176	207	316	344	319	285
Bcl7c	13	21	5	16	29	25	15	14
Bcl9	38	77	36	26	51	56	61	59
Bcl9l	45	92	30	43	45	20	48	41
Bclaf1	966	1039	740	791	1004	1209	1076	1360
Bclaf3	139	159	97	73	178	112	81	175
Bco1	3	0	0	0	5	0	1	3
Bco2	39	62	31	45	33	29	23	31
